Model,Configuration,RMSE,MAE,R²
Lasso Regression,All Features,3.9178304201154424,2.5957080479273857,0.9464271342467336
Lasso Regression,"No Climate (Rainfall, Temp, Monsoon removed)",3.922340220627697,2.6092714239949903,0.9463037281951024
Lasso Regression,"No Economic (Diesel, Inflation, USD removed)",3.8918032701768324,2.6077540727898407,0.9471365664334073
Lasso Regression,"No Market (Indian, Supply removed)",4.0070548105003425,2.806182101224387,0.9439592193394316
Lasso Regression,"No Temporal (Month, Day removed)",3.920281597331115,2.6002429526413677,0.9463600779156962
LightGBM,All Features,8.516236707813574,7.093858967749434,0.7468668294903151
LightGBM,"No Climate (Rainfall, Temp, Monsoon removed)",8.051741698650812,6.707004898064374,0.7737267165614446
LightGBM,"No Economic (Diesel, Inflation, USD removed)",6.9054338299024804,5.507992913936282,0.8335684926013895
LightGBM,"No Market (Indian, Supply removed)",10.37920992002299,8.303643961542793,0.6240048855711217
LightGBM,"No Temporal (Month, Day removed)",8.785916484405265,7.317868616387249,0.7305812902553148
Linear Regression,All Features,3.9194485090036,2.5962089604823064,0.9463828732398247
Linear Regression,"No Climate (Rainfall, Temp, Monsoon removed)",3.924991571091279,2.6097611146152775,0.9462311104492453
Linear Regression,"No Economic (Diesel, Inflation, USD removed)",3.8960900251248365,2.615843218928403,0.9470200459545345
Linear Regression,"No Market (Indian, Supply removed)",4.015029320393829,2.819963751169373,0.9437359419097494
Linear Regression,"No Temporal (Month, Day removed)",3.9240455444163342,2.6047884870119438,0.9462570267717414
Random Forest,All Features,7.015806621763648,5.785411219449131,0.8282056682416472
Random Forest,"No Climate (Rainfall, Temp, Monsoon removed)",7.251206434646613,5.964813171277231,0.8164839093903317
Random Forest,"No Economic (Diesel, Inflation, USD removed)",5.95717096222798,4.7877591230881125,0.8761392406095593
Random Forest,"No Market (Indian, Supply removed)",7.713282390055269,6.238179439463103,0.7923499339215521
Random Forest,"No Temporal (Month, Day removed)",7.225549778621937,5.968270362575306,0.817780267304115
Ridge Regression,All Features,3.925764889018388,2.604898715086675,0.9462099208280031
Ridge Regression,"No Climate (Rainfall, Temp, Monsoon removed)",3.930165760003661,2.6174921071679393,0.946089253446516
Ridge Regression,"No Economic (Diesel, Inflation, USD removed)",3.9006933644929154,2.620178027798376,0.9468947773981583
Ridge Regression,"No Market (Indian, Supply removed)",4.0215755076933855,2.826685882066478,0.9435523241638524
Ridge Regression,"No Temporal (Month, Day removed)",3.93024403178085,2.612809204912488,0.9460871060907966
XGBoost,All Features,9.701354377604751,8.15128489372813,0.671512877602046
XGBoost,"No Climate (Rainfall, Temp, Monsoon removed)",11.400420692784387,9.642696357638679,0.5463766870506375
XGBoost,"No Economic (Diesel, Inflation, USD removed)",7.69522995965614,6.070519472217927,0.7933207791502335
XGBoost,"No Market (Indian, Supply removed)",12.249224226650597,10.484957556411565,0.4763142218727495
XGBoost,"No Temporal (Month, Day removed)",10.85069936465947,9.285733421649713,0.5890688417646409
