Date,commodity_x,average_price,unit,supply_Volume,temperature_avg,precipitation,wind_speed,air_pressure,rainfall_mm,USD_to_NPR,diesel
2022-01-01,Tomato_Big,115.0,के.जी.,0.0,9.0,0.0,4.7,1023.5,0.0,117.49,119.0
2022-01-02,Tomato_Big,115.0,के.जी.,8000.0,9.8,0.0,4.5,1022.3,0.0,117.49,119.0
2022-01-03,Tomato_Big,95.0,के.जी.,22375.0,10.0,0.0,5.3,1020.6,0.0,117.49,119.0
2022-01-04,Tomato_Big,96.67,के.जी.,8000.0,10.2,0.0,5.0,1020.6,0.0,117.47,119.0
2022-01-05,Tomato_Big,86.67,के.जी.,32500.0,11.0,0.0,5.8,1020.6,0.0,117.55,119.0
2022-01-06,Tomato_Big,96.67,के.जी.,11250.0,12.0,0.0,7.0,1020.3,0.0,117.42,119.0
2022-01-07,Tomato_Big,96.67,के.जी.,32500.0,12.4,0.0,4.7,1021.5,0.0,117.59,119.0
2022-01-08,Tomato_Big,76.67,के.जी.,0.0,12.3,0.0,4.3,1021.3,0.0,116.81,119.0
2022-01-09,Tomato_Big,75.0,के.जी.,34500.0,12.3,0.0,5.3,1018.9,0.0,116.81,119.0
2022-01-10,Tomato_Big,76.67,के.जी.,14000.0,12.4,0.0,6.7,1019.7,0.0,116.81,119.0
2022-01-11,Tomato_Big,76.67,के.जी.,25000.0,11.8,0.0,4.8,1019.6,0.0,117.02,119.0
2022-01-12,Tomato_Big,76.67,के.जी.,12000.0,10.3,0.0,6.1,1018.9,0.0,116.72,119.0
2022-01-13,Tomato_Big,76.67,के.जी.,12000.0,9.5,3.0,6.2,1018.8,0.0,116.88,119.0
2022-01-14,Tomato_Big,76.67,के.जी.,0.0,9.3,0.0,5.0,1019.4,0.0,116.68,119.0
2022-01-15,Tomato_Big,76.67,के.जी.,0.0,9.4,0.0,5.8,1019.6,0.0,117.07,119.0
2022-01-16,Tomato_Big,66.67,के.जी.,0.0,9.8,0.0,5.3,1021.1,0.0,117.07,119.0
2022-01-17,Tomato_Big,66.67,के.जी.,11250.0,10.3,0.0,5.7,1022.5,0.0,117.07,119.0
2022-01-18,Tomato_Big,66.67,के.जी.,22500.0,10.6,0.0,6.8,1019.8,0.0,117.28,119.0
2022-01-19,Tomato_Big,66.67,के.जी.,24250.0,10.9,0.0,6.5,1017.1,0.0,117.86,122.0
2022-01-20,Tomato_Big,55.0,के.जी.,10625.0,9.0,0.3,3.7,1014.6,0.0,117.47,122.0
2022-01-21,Tomato_Big,56.67,के.जी.,23250.0,8.7,1.8,5.1,1014.4,0.0,117.73,122.0
2022-01-22,Tomato_Big,56.67,के.जी.,0.0,8.5,0.0,4.5,1013.9,0.0,117.56,122.0
2022-01-23,Tomato_Big,56.67,के.जी.,12000.0,9.0,0.0,5.0,1014.8,0.0,117.56,122.0
2022-01-24,Tomato_Big,56.67,के.जी.,16625.0,9.2,0.0,5.0,1015.2,0.0,117.56,122.0
2022-01-25,Tomato_Big,55.0,के.जी.,0.0,9.7,0.0,6.6,1015.4,0.0,117.8,122.0
2022-01-26,Tomato_Big,56.67,के.जी.,16000.0,8.2,0.0,8.7,1015.5,0.0,118.06,122.0
2022-01-27,Tomato_Big,55.0,के.जी.,10000.0,8.3,0.0,7.9,1015.0,0.0,118.25,122.0
2022-01-28,Tomato_Big,56.67,के.जी.,0.0,8.1,0.0,7.4,1016.1,0.0,118.62,122.0
2022-01-29,Tomato_Big,66.67,के.जी.,0.0,8.0,0.0,5.9,1016.6,0.0,118.44,122.0
2022-01-30,Tomato_Big,65.0,के.जी.,23250.0,8.7,0.0,8.4,1013.0,0.0,118.44,122.0
2022-01-31,Tomato_Big,66.67,के.जी.,18000.0,9.2,0.0,7.1,1014.0,0.0,118.44,122.0
2022-02-01,Tomato_Big,69.17,के.जी.,25500.0,8.35,10.475,7.675,1013.8,0.0,118.34,122.0
2022-02-02,Tomato_Big,71.67,के.जी.,33000.0,7.5,20.95,8.25,1013.6,0.0,118.24000000000001,122.0
2022-02-03,Tomato_Big,74.17,के.जी.,40500.0,6.65,31.425,8.825,1013.4000000000001,0.0,118.14,122.0
2022-02-04,Tomato_Big,76.67,के.जी.,48000.0,5.8,41.9,9.4,1013.2,0.0,118.04,122.0
2022-02-05,Tomato_Big,76.67,के.जी.,5000.0,7.1,8.4,5.0,1013.0,0.0,118.09,122.0
2022-02-06,Tomato_Big,75.0,के.जी.,27200.0,8.7,0.0,6.2,1017.0,0.0,118.09,122.0
2022-02-07,Tomato_Big,76.67,के.जी.,12000.0,9.5,0.0,6.6,1016.6,0.0,118.09,122.0
2022-02-08,Tomato_Big,76.67,के.जी.,36000.0,10.2,0.0,6.9,1016.0,0.0,117.92,122.0
2022-02-09,Tomato_Big,86.67,के.जी.,58450.0,11.3,0.0,6.6,1018.1,0.0,118.05,122.0
2022-02-10,Tomato_Big,76.67,के.जी.,11250.0,10.7,0.0,10.8,1017.2,0.0,118.2,122.0
2022-02-11,Tomato_Big,76.67,के.जी.,12125.0,9.8,0.0,8.8,1015.6,0.0,118.32,122.0
2022-02-12,Tomato_Big,76.67,के.जी.,0.0,10.2,0.0,5.3,1016.1,0.0,119.39,122.0
2022-02-13,Tomato_Big,65.0,के.जी.,0.0,10.8,0.0,6.0,1016.3,0.0,119.39,122.0
2022-02-14,Tomato_Big,76.67,के.जी.,33250.0,11.6,0.0,6.2,1016.4,0.0,119.39,122.0
2022-02-15,Tomato_Big,76.67,के.जी.,85375.0,11.9,0.0,7.3,1015.8,0.0,119.26,122.0
2022-02-16,Tomato_Big,76.67,के.जी.,55250.0,11.4,0.0,7.2,1013.4,0.0,119.16,122.0
2022-02-17,Tomato_Big,76.67,के.जी.,11250.0,11.5,0.0,6.9,1013.2,0.0,118.5,122.0
2022-02-18,Tomato_Big,76.67,के.जी.,66250.0,12.0,0.0,7.0,1015.0,0.0,118.4,122.0
2022-02-19,Tomato_Big,76.67,के.जी.,36750.0,11.9,0.0,7.9,1014.3,0.0,117.99,128.0
2022-02-20,Tomato_Big,75.0,के.जी.,48955.0,9.8,0.0,10.8,1010.0,0.0,117.99,128.0
2022-02-21,Tomato_Big,75.0,के.जी.,65500.0,9.7,1.8,7.6,1011.5,0.0,117.99,128.0
2022-02-22,Tomato_Big,65.0,के.जी.,67375.0,10.8,0.0,9.7,1017.7,0.0,117.86,128.0
2022-02-23,Tomato_Big,65.0,के.जी.,54000.0,12.8,0.0,6.1,1021.1,0.0,118.08,128.0
2022-02-24,Tomato_Big,65.0,के.जी.,89200.0,13.5,0.0,6.6,1020.3,0.0,117.83,128.0
2022-02-25,Tomato_Big,65.0,के.जी.,44750.0,12.8,0.0,8.8,1021.1,0.0,119.5,128.0
2022-02-26,Tomato_Big,60.0,के.जी.,64875.0,13.15,0.0,8.55,1020.8,0.0,118.775,128.0
2022-02-27,Tomato_Big,55.0,के.जी.,85000.0,13.5,0.0,8.3,1020.5,0.0,118.05,128.0
2022-02-28,Tomato_Big,66.67,के.जी.,41050.0,13.7,0.0,7.3,1019.0,0.0,118.05,128.0
2022-03-01,Tomato_Big,66.67,के.जी.,86640.0,14.3,0.0,7.1,1020.3,0.0,119.23,128.0
2022-03-02,Tomato_Big,56.67,के.जी.,62800.0,14.4,0.0,9.6,1020.2,0.0,119.56,128.0
2022-03-03,Tomato_Big,56.67,के.जी.,23750.0,14.8,0.0,10.7,1019.5,0.0,119.65,133.0
2022-03-04,Tomato_Big,60.835,के.जी.,35600.0,15.100000000000001,0.0,9.8,1018.15,0.0,120.285,133.0
2022-03-05,Tomato_Big,65.0,के.जी.,47450.0,15.4,0.0,8.9,1016.8,0.0,120.92,133.0
2022-03-06,Tomato_Big,65.0,के.जी.,65425.0,16.4,0.0,7.0,1019.3,0.0,120.92,133.0
2022-03-07,Tomato_Big,65.0,के.जी.,84650.0,17.8,0.0,7.3,1020.5,0.0,120.92,133.0
2022-03-08,Tomato_Big,55.0,के.जी.,42975.0,18.2,0.0,8.0,1018.3,0.0,121.28,133.0
2022-03-09,Tomato_Big,56.67,के.जी.,81950.0,18.2,0.0,8.8,1017.8,0.0,121.15,133.0
2022-03-10,Tomato_Big,56.67,के.जी.,65700.0,17.9,0.0,9.6,1017.6,0.0,121.38,133.0
2022-03-11,Tomato_Big,46.67,के.जी.,47500.0,17.8,0.0,8.2,1016.8,0.0,120.44,133.0
2022-03-12,Tomato_Big,46.67,के.जी.,69250.0,18.2,0.0,9.6,1016.4,0.0,120.41,133.0
2022-03-13,Tomato_Big,45.0,के.जी.,88375.0,18.8,0.0,7.7,1017.5,0.0,120.41,133.0
2022-03-14,Tomato_Big,56.67,के.जी.,35506.0,20.0,0.0,7.2,1017.4,0.0,120.41,133.0
2022-03-15,Tomato_Big,61.0,के.जी.,56500.0,20.5,0.0,9.2,1014.4,0.0,120.78,133.0
2022-03-16,Tomato_Big,55.0,के.जी.,93695.0,20.2,4.6,9.2,1013.1,0.0,120.75,138.0
2022-03-17,Tomato_Big,65.0,के.जी.,107243.0,20.6,4.6,7.7,1015.8,0.0,120.52,138.0
2022-03-18,Tomato_Big,65.0,के.जी.,93260.0,20.4,0.0,6.8,1016.3,0.0,119.75,138.0
2022-03-19,Tomato_Big,57.5,के.जी.,97000.0,21.3,0.0,8.7,1014.1,0.0,120.19,138.0
2022-03-20,Tomato_Big,60.0,के.जी.,50625.0,21.0,0.0,9.0,1012.8,0.0,120.19,138.0
2022-03-21,Tomato_Big,65.0,के.जी.,55575.0,20.3,0.0,9.4,1013.4,0.0,120.19,138.0
2022-03-22,Tomato_Big,65.0,के.जी.,97350.0,19.9,0.0,8.1,1014.1,0.0,120.16,138.0
2022-03-23,Tomato_Big,70.0,के.जी.,132595.0,19.9,0.0,9.1,1014.6,0.0,120.0,138.0
2022-03-24,Tomato_Big,67.5,के.जी.,159257.5,19.85,0.15,11.25,1013.4000000000001,0.0,120.235,138.0
2022-03-25,Tomato_Big,65.0,के.जी.,185920.0,19.8,0.3,13.4,1012.2,0.0,120.47,138.0
2022-03-26,Tomato_Big,65.0,के.जी.,85960.0,19.8,0.0,8.2,1013.5,0.0,120.2,138.0
2022-03-27,Tomato_Big,65.0,के.जी.,59825.0,20.1,0.0,10.4,1016.2,0.0,120.2,138.0
2022-03-28,Tomato_Big,60.0,के.जी.,52662.5,20.15,0.0,9.75,1015.0,0.0,120.2,138.0
2022-03-29,Tomato_Big,55.0,के.जी.,45500.0,20.2,0.0,9.1,1013.8,0.0,120.2,138.0
2022-03-30,Tomato_Big,55.0,के.जी.,76280.0,20.35,0.0,9.45,1014.05,0.0,120.08,138.0
2022-03-31,Tomato_Big,55.0,के.जी.,107060.0,20.5,0.0,9.8,1014.3,0.0,119.96,138.0
2022-04-01,Tomato_Big,56.67,के.जी.,110200.0,20.8,0.0,7.1,1014.3,0.0,119.47,138.0
2022-04-02,Tomato_Big,56.67,के.जी.,106650.0,21.8,0.0,9.8,1016.2,0.0,120.21,138.0
2022-04-03,Tomato_Big,55.0,के.जी.,141475.0,22.2,0.0,8.5,1015.4,0.0,120.21,138.0
2022-04-04,Tomato_Big,55.0,के.जी.,105025.0,22.0,0.0,11.0,1014.9,0.0,120.21,138.0
2022-04-05,Tomato_Big,55.0,के.जी.,72750.0,22.3,0.0,9.4,1018.4,0.0,119.26,143.0
2022-04-06,Tomato_Big,65.0,के.जी.,80900.0,22.2,0.0,11.0,1018.6,0.0,118.93,143.0
2022-04-07,Tomato_Big,65.0,के.जी.,125650.0,21.5,0.0,10.0,1017.7,0.0,119.66,143.0
2022-04-08,Tomato_Big,65.0,के.जी.,78285.0,21.9,0.0,9.8,1016.0,0.0,119.93,143.0
2022-04-09,Tomato_Big,65.0,के.जी.,72385.0,20.2,1.0,6.5,1014.5,0.0,119.82,143.0
2022-04-10,Tomato_Big,75.0,के.जी.,79875.0,20.4,1.3,8.2,1012.6,0.0,119.82,143.0
2022-04-11,Tomato_Big,75.0,के.जी.,121975.0,21.9,0.8,8.5,1012.9,0.0,119.82,143.0
2022-04-12,Tomato_Big,75.0,के.जी.,57350.0,22.4,0.0,11.5,1013.4,0.0,120.1,143.0
2022-04-13,Tomato_Big,55.0,के.जी.,82450.0,22.4,0.0,9.0,1011.6,0.0,120.22,143.0
2022-04-14,Tomato_Big,66.67,के.जी.,107950.0,22.6,3.0,10.3,1011.2,0.0,120.2,143.0
2022-04-15,Tomato_Big,56.67,के.जी.,93750.0,22.5,0.0,8.8,1010.8,0.0,120.26,143.0
2022-04-16,Tomato_Big,56.67,के.जी.,77935.0,22.2,0.0,9.8,1011.1,0.0,121.29,143.0
2022-04-17,Tomato_Big,55.0,के.जी.,40075.0,21.8,0.0,9.5,1012.5,0.0,121.29,143.0
2022-04-18,Tomato_Big,55.0,के.जी.,76885.0,22.5,0.0,9.2,1014.8,0.0,121.29,143.0
2022-04-19,Tomato_Big,56.67,के.जी.,64475.0,21.0,0.0,10.1,1014.8,0.0,121.39,143.0
2022-04-20,Tomato_Big,56.67,के.जी.,48450.0,19.5,2.3,5.4,1014.5,0.0,120.53,143.0
2022-04-21,Tomato_Big,55.0,के.जी.,46575.0,22.1,0.3,8.2,1015.1,0.0,120.8,143.0
2022-04-22,Tomato_Big,56.67,के.जी.,59156.0,20.6,0.0,13.3,1014.6,0.0,120.94,143.0
2022-04-23,Tomato_Big,56.67,के.जी.,48750.0,21.9,1.0,9.0,1014.3,0.0,120.92,143.0
2022-04-24,Tomato_Big,55.0,के.जी.,47700.0,22.6,0.0,9.7,1012.1,0.0,120.92,143.0
2022-04-25,Tomato_Big,65.0,के.जी.,39500.0,22.8,0.0,7.0,1012.5,0.0,120.92,143.0
2022-04-26,Tomato_Big,56.67,के.जी.,16500.0,23.3,0.0,8.6,1013.9,0.0,120.96,143.0
2022-04-27,Tomato_Big,55.0,के.जी.,22200.0,22.9,0.0,9.0,1013.8,0.0,121.09,143.0
2022-04-28,Tomato_Big,66.67,के.जी.,27050.0,23.5,0.0,9.5,1015.2,0.0,121.01,143.0
2022-04-29,Tomato_Big,66.67,के.जी.,49650.0,19.9,1.5,7.5,1013.2,0.0,120.62,143.0
2022-04-30,Tomato_Big,66.67,के.जी.,8450.0,18.0,3.0,7.9,1012.2,0.0,120.64,143.0
2022-05-01,Tomato_Big,66.67,के.जी.,40175.0,21.4,0.5,7.7,1012.4,0.0,120.64,143.0
2022-05-02,Tomato_Big,66.67,के.जी.,35700.0,19.0,0.0,6.9,1011.7,0.0,120.64,143.0
2022-05-03,Tomato_Big,85.0,के.जी.,42375.0,20.7,5.1,7.4,1013.7,0.0,120.69,143.0
2022-05-04,Tomato_Big,76.67,के.जी.,33470.0,20.7,0.0,8.4,1015.3,0.0,120.49,143.0
2022-05-05,Tomato_Big,76.67,के.जी.,18125.0,20.8,25.9,7.9,1014.2,0.0,120.52,143.0
2022-05-06,Tomato_Big,66.67,के.जी.,29450.0,20.2,0.8,8.5,1014.6,0.0,120.53,143.0
2022-05-07,Tomato_Big,66.67,के.जी.,28250.0,20.2,0.0,7.6,1014.3,0.0,121.18,143.0
2022-05-08,Tomato_Big,65.0,के.जी.,31000.0,20.4,1.3,7.6,1014.1,0.0,121.18,143.0
2022-05-09,Tomato_Big,75.0,के.जी.,48675.0,21.3,0.0,7.2,1014.5,0.0,121.18,143.0
2022-05-10,Tomato_Big,76.67,के.जी.,16250.0,22.3,23.4,8.2,1013.6,0.0,122.44,143.0
2022-05-11,Tomato_Big,66.67,के.जी.,22000.0,20.8,8.9,7.4,1012.2,0.0,122.07,143.0
2022-05-12,Tomato_Big,65.0,के.जी.,11250.0,22.5,0.3,6.9,1011.1,0.0,121.96,143.0
2022-05-13,Tomato_Big,73.61166666666666,के.जी.,12958.333333333334,22.616666666666667,0.25,7.7,1011.2166666666667,0.0,122.0,143.0
2022-05-14,Tomato_Big,82.22333333333333,के.जी.,14666.666666666668,22.733333333333334,0.2,8.5,1011.3333333333334,0.0,122.03999999999999,143.0
2022-05-15,Tomato_Big,90.83500000000001,के.जी.,16375.0,22.85,0.15,9.3,1011.45,0.0,122.08,143.0
2022-05-16,Tomato_Big,99.44666666666667,के.जी.,18083.333333333336,22.966666666666665,0.1,10.1,1011.5666666666666,0.0,122.12,143.0
2022-05-17,Tomato_Big,108.05833333333334,के.जी.,19791.666666666668,23.083333333333332,0.05000000000000002,10.899999999999999,1011.6833333333333,0.0,122.16,143.0
2022-05-18,Tomato_Big,116.67,के.जी.,21500.0,23.2,0.0,11.7,1011.8,0.0,122.2,143.0
2022-05-19,Tomato_Big,115.0,के.जी.,4400.0,23.5,0.0,10.2,1011.3,0.0,122.4,143.0
2022-05-20,Tomato_Big,115.0,के.जी.,2200.0,22.7,4.2,9.35,1008.8499999999999,0.0,122.495,143.0
2022-05-21,Tomato_Big,115.0,के.जी.,0.0,21.9,8.4,8.5,1006.4,0.0,122.59,143.0
2022-05-22,Tomato_Big,95.0,के.जी.,21000.0,19.5,7.6,9.2,1006.1,0.0,122.59,163.0
2022-05-23,Tomato_Big,125.0,के.जी.,11900.0,19.8,16.5,8.2,1008.6,0.0,122.59,163.0
2022-05-24,Tomato_Big,115.0,के.जी.,11500.0,21.5,0.0,6.2,1012.7,0.0,122.47,163.0
2022-05-25,Tomato_Big,105.0,के.जी.,0.0,18.5,49.8,6.2,1013.5,0.0,122.66,163.0
2022-05-26,Tomato_Big,108.89,के.जी.,0.0,19.066666666666666,34.4,4.833333333333334,1011.8333333333334,0.0,122.60666666666667,163.0
2022-05-27,Tomato_Big,112.78,के.जी.,0.0,19.633333333333333,19.0,3.4666666666666672,1010.1666666666666,0.0,122.55333333333333,163.0
2022-05-28,Tomato_Big,116.67,के.जी.,0.0,20.2,3.6,2.1,1008.5,0.0,122.5,163.0
2022-05-29,Tomato_Big,125.0,के.जी.,11000.0,21.3,13.6,7.8,1008.8,0.0,122.5,163.0
2022-05-30,Tomato_Big,115.0,के.जी.,2400.0,22.8,1.5,6.5,1008.9,0.0,122.5,163.0
2022-05-31,Tomato_Big,140.0,के.जी.,1875.0,21.5,6.9,6.2,1009.6,0.0,122.38,163.0
2022-06-01,Tomato_Big,150.0,के.जी.,3726.0,22.8,0.0,5.4,1009.8,0.0,122.58,163.0
2022-06-02,Tomato_Big,147.10526315789474,के.जी.,3766.7368421052633,22.789473684210527,0.0,5.552631578947369,1009.6736842105263,0.0,122.62789473684211,163.0
2022-06-03,Tomato_Big,144.21052631578948,के.जी.,3807.4736842105262,22.778947368421054,0.0,5.705263157894737,1009.5473684210526,0.0,122.6757894736842,163.0
2022-06-04,Tomato_Big,141.31578947368422,के.जी.,3848.2105263157896,22.76842105263158,0.0,5.8578947368421055,1009.421052631579,0.0,122.72368421052632,163.0
2022-06-05,Tomato_Big,138.42105263157896,के.जी.,3888.9473684210525,22.757894736842108,0.0,6.010526315789474,1009.2947368421052,0.0,122.77157894736843,163.0
2022-06-06,Tomato_Big,135.5263157894737,के.जी.,3929.684210526316,22.74736842105263,0.0,6.163157894736843,1009.1684210526315,0.0,122.81947368421052,163.0
2022-06-07,Tomato_Big,132.6315789473684,के.जी.,3970.4210526315787,22.736842105263158,0.0,6.315789473684211,1009.0421052631579,0.0,122.86736842105263,163.0
