Date,Unit,commodity,supply_Volume
2022-01-01,KG,Tomato_Small,142555.0
2022-01-01,KG,Potato_Red,70702.0
2022-01-01,KG,Potato_White,25000.0
2022-01-01,KG,Onion_Dried,115066.0
2022-01-01,KG,Carrot,9837.0
2022-01-01,KG,Cabbage,48295.0
2022-01-01,KG,Cauliflower_Local,119550.0
2022-01-01,KG,Radish_White,18230.0
2022-01-01,KG,Brinjal_Long,20100.0
2022-01-01,KG,Bean,6560.0
2022-01-01,KG,Pea_Shell,22850.0
2022-01-01,KG,Ghee_Beans,9496.0
2022-01-01,KG,Broad_Beans,10650.0
2022-01-01,KG,Bitter_Gourd,2990.0
2022-01-01,KG,Bottle_Gourd,2250.0
2022-01-01,KG,Pumpkin_Ripe,4700.0
2022-01-01,KG,Pumpkin_Green,12660.0
2022-01-01,KG,Lady_Finger,11000.0
2022-01-01,KG,Sweet_Potato,2710.0
2022-01-01,KG,Sponge_Gourd,3500.0
2022-01-01,KG,Taro,6425.0
2022-01-01,KG,Squash,2565.0
2022-01-01,KG,Mustard_Leaf,8447.0
2022-01-01,KG,Spinach,300.0
2022-01-01,KG,Chamsur_Leaf,230.0
2022-01-01,KG,Rapeseed_Leaf,200.0
2022-01-01,KG,Onion_Green,3100.0
2022-01-01,KG,Yam,15400.0
2022-01-01,KG,Mushroom,1290.0
2022-01-01,KG,Broccoli,13780.0
2022-01-01,KG,Beetroot,350.0
2022-01-01,KG,Apple,200.0
2022-01-01,KG,Banana,2450.0
2022-01-01,KG,Lemon,11125.0
2022-01-01,KG,Orange,9875.0
2022-01-01,KG,Cucumber,22340.0
2022-01-01,KG,Guava,10000.0
2022-01-01,KG,Hog_Plum,300.0
2022-01-01,KG,Ginger,14400.0
2022-01-01,KG,Chili_Green,10280.0
2022-01-01,KG,Chili_Bhede,17400.0
2022-01-01,KG,Garlic_Green,6200.0
2022-01-01,KG,Coriander_Leaf,3023.0
2022-01-01,KG,Garlic_Dried,3400.0
2022-01-01,KG,Fresh_Fish,24156.0
2022-01-01,KG,Other,2520.0
2022-01-01,KG,Total,848457.0
2022-01-02,KG,Onion_Green,2200.0
2022-01-02,KG,Mustard_Leaf,8835.0
2022-01-02,KG,Lime,2500.0
2022-01-02,KG,Coriander_Leaf,2750.0
2022-01-02,KG,Onion_Dried,100000.0
2022-01-02,KG,Chili_Bhede,9825.0
2022-01-02,KG,Bean,2900.0
2022-01-02,KG,Garlic_Green,2840.0
2022-01-02,KG,Pumpkin_Ripe,500.0
2022-01-02,KG,Pea_Shell,32000.0
2022-01-02,KG,Tomato_Big,8000.0
2022-01-02,KG,Pumpkin_Green,7530.0
2022-01-02,KG,Orange,12050.0
2022-01-02,KG,Carrot,11780.0
2022-01-02,KG,Chili_Green,100.0
2022-01-02,KG,Brinjal_Long,18050.0
2022-01-02,KG,Sweet_Potato,10000.0
2022-01-02,KG,Broccoli,2540.0
2022-01-02,KG,Ginger,1050.0
2022-01-02,KG,Bakul,2600.0
2022-01-02,KG,Sponge_Gourd,2500.0
2022-01-02,KG,Cabbage,64070.0
2022-01-02,KG,Garlic_Dried,3600.0
2022-01-02,KG,Ghee_Beans,4975.0
2022-01-02,KG,Broad_Beans,7900.0
2022-01-02,KG,Yam,19400.0
2022-01-02,KG,Mushroom,1320.0
2022-01-02,KG,Tomato_Small,124175.0
2022-01-02,KG,Banana,3100.0
2022-01-02,KG,Potato_Red,119118.0
2022-01-02,KG,Fresh_Fish,16058.0
2022-01-02,KG,Taro,4175.0
2022-01-02,KG,Lemon,700.0
2022-01-02,KG,Radish_White,47600.0
2022-01-02,KG,Squash,1000.0
2022-01-02,KG,Cauliflower_Local,77340.0
2022-01-02,KG,Lady_Finger,2250.0
2022-01-02,KG,Cucumber,9800.0
2022-01-02,KG,Total,747131.0
2022-01-03,KG,Tomato_Big,22375.0
2022-01-03,KG,Tomato_Small,100300.0
2022-01-03,KG,Potato_Red,168780.0
2022-01-03,KG,Onion_Dried,93000.0
2022-01-03,KG,Carrot,8105.0
2022-01-03,KG,Cabbage,38140.0
2022-01-03,KG,Cauliflower_Local,61353.0
2022-01-03,KG,Radish_Red,207.0
2022-01-03,KG,Radish_White,17500.0
2022-01-03,KG,Brinjal_Long,14115.0
2022-01-03,KG,Bean,500.0
2022-01-03,KG,Pea_Shell,13550.0
2022-01-03,KG,Ghee_Beans,12210.0
2022-01-03,KG,Broad_Beans,5575.0
2022-01-03,KG,Bitter_Gourd,3920.0
2022-01-03,KG,Bottle_Gourd,3500.0
2022-01-03,KG,Pointed_Gourd,2200.0
2022-01-03,KG,Pumpkin_Ripe,700.0
2022-01-03,KG,Pumpkin_Green,5980.0
2022-01-03,KG,Lady_Finger,11800.0
2022-01-03,KG,Sweet_Potato,10700.0
2022-01-03,KG,Sponge_Gourd,3080.0
2022-01-03,KG,Taro,19200.0
2022-01-03,KG,Squash,1800.0
2022-01-03,KG,Mustard_Leaf,10535.0
2022-01-03,KG,Onion_Green,4400.0
2022-01-03,KG,Bakul,3500.0
2022-01-03,KG,Yam,19830.0
2022-01-03,KG,Mushroom,1300.0
2022-01-03,KG,Broccoli,5264.0
2022-01-03,KG,Beetroot,800.0
2022-01-03,KG,Banana,750.0
2022-01-03,KG,Lemon,600.0
2022-01-03,KG,Orange,8900.0
2022-01-03,KG,Cucumber,16040.0
2022-01-03,KG,Guava,500.0
2022-01-03,KG,Guava,12000.0
2022-01-03,KG,Ginger,10350.0
2022-01-03,KG,Chili_Green,11190.0
2022-01-03,KG,Chili_Bhede,16500.0
2022-01-03,KG,Garlic_Green,7656.0
2022-01-03,KG,Coriander_Leaf,3850.0
2022-01-03,KG,Fresh_Fish,10570.0
2022-01-03,KG,Other,4045.0
2022-01-03,KG,Total,767170.0
2022-01-04,KG,Cauliflower_Local,66221.0
2022-01-04,KG,Sweet_Potato,100.0
2022-01-04,KG,Broccoli,7185.0
2022-01-04,KG,Squash,2900.0
2022-01-04,KG,Mustard_Leaf,7028.0
2022-01-04,KG,Mushroom,670.0
2022-01-04,KG,Chili_Green,16250.0
2022-01-04,KG,Chili_Bhede,1554.0
2022-01-04,KG,Tomato_Big,8000.0
2022-01-04,KG,Orange,20925.0
2022-01-04,KG,Other,5000.0
2022-01-04,KG,Coriander_Leaf,3175.0
2022-01-04,KG,Garlic_Green,3191.0
2022-01-04,KG,Tomato_Small,110475.0
2022-01-04,KG,Onion_Dried,18000.0
2022-01-04,KG,Ghee_Beans,8150.0
2022-01-04,KG,Broad_Beans,9440.0
2022-01-04,KG,Brinjal_Long,13475.0
2022-01-04,KG,Pea_Shell,42850.0
2022-01-04,KG,Potato_Red,221502.0
2022-01-04,KG,Garlic_Dried,10000.0
2022-01-04,KG,Onion_Green,720.0
2022-01-04,KG,Fresh_Fish,12070.0
2022-01-04,KG,Pumpkin_Green,9000.0
2022-01-04,KG,Cucumber,18450.0
2022-01-04,KG,Radish_White,17535.0
2022-01-04,KG,Taro,2550.0
2022-01-04,KG,Bean,3375.0
2022-01-04,KG,Lemon,68500.0
2022-01-04,KG,Bottle_Gourd,2545.0
2022-01-04,KG,Yam,22330.0
2022-01-04,KG,Cabbage,45128.0
2022-01-04,KG,Pumpkin_Ripe,1200.0
2022-01-04,KG,Carrot,9425.0
2022-01-04,KG,Bitter_Gourd,8720.0
2022-01-04,KG,Bakul,1700.0
2022-01-04,KG,Ginger,7700.0
2022-01-04,KG,Total,807039.0
2022-01-05,KG,Onion_Dried,137000.0
2022-01-05,KG,Chili_Bhede,3250.0
2022-01-05,KG,Carrot,5130.0
2022-01-05,KG,Radish_White,30600.0
2022-01-05,KG,Lemon,4500.0
2022-01-05,KG,Onion_Green,2300.0
2022-01-05,KG,Sweet_Potato,6950.0
2022-01-05,KG,Tomato_Big,32500.0
2022-01-05,KG,Pumpkin_Green,11850.0
2022-01-05,KG,Other,500.0
2022-01-05,KG,Potato_Red,227096.0
2022-01-05,KG,Garlic_Green,2800.0
2022-01-05,KG,Orange,21150.0
2022-01-05,KG,Cabbage,19740.0
2022-01-05,KG,Taro,10925.0
2022-01-05,KG,Ginger,17600.0
2022-01-05,KG,Fresh_Fish,12470.0
2022-01-05,KG,Tomato_Small,102850.0
2022-01-05,KG,Garlic_Dried,20000.0
2022-01-05,KG,Mushroom,764.0
2022-01-05,KG,Cauliflower_Local,79390.0
2022-01-05,KG,Apple,800.0
2022-01-05,KG,Ghee_Beans,10150.0
2022-01-05,KG,Bitter_Gourd,4620.0
2022-01-05,KG,Chili_Green,24510.0
2022-01-05,KG,Broad_Beans,9900.0
2022-01-05,KG,Yam,36350.0
2022-01-05,KG,Banana,1500.0
2022-01-05,KG,Coriander_Leaf,2790.0
2022-01-05,KG,Bottle_Gourd,4400.0
2022-01-05,KG,Cucumber,23170.0
2022-01-05,KG,Sponge_Gourd,2200.0
2022-01-05,KG,Mustard_Leaf,6050.0
2022-01-05,KG,Hog_Plum,700.0
2022-01-05,KG,Bean,1600.0
2022-01-05,KG,Beetroot,200.0
2022-01-05,KG,Broccoli,10465.0
2022-01-05,KG,Bakul,375.0
2022-01-05,KG,Pea_Shell,38650.0
2022-01-05,KG,Pumpkin_Ripe,9795.0
