,Forecasted_Price
2025-10-21,46.334537760615355
2025-10-22,49.077736298739914
2025-10-23,53.79393114119768
2025-10-24,58.989999710023405
2025-10-25,63.988619289398194
2025-10-26,68.23020655930043
2025-10-27,71.28490263521671
2025-10-28,72.94190701186658
2025-10-29,73.24291763991117
2025-10-30,72.45392522454262
2025-10-31,70.98243473529816
2025-11-01,69.26640857785941
2025-11-02,67.67000582814217
2025-11-03,66.45254370331764
2025-11-04,65.73255606204272
2025-11-05,65.49849822402001
2025-11-06,65.66526278793812
2025-11-07,66.10397879838943
2025-11-08,66.6664857417345
2025-11-09,67.22724032700062
2025-11-10,67.69659082531929
2025-11-11,68.00865583658218
2025-11-12,68.15211313009262
2025-11-13,68.13829401612281
2025-11-14,68.01106192409992
2025-11-15,67.82567515075208
2025-11-16,67.62489849686622
2025-11-17,67.44312993437052
2025-11-18,67.30790327608585
2025-11-19,67.23697363197803
2025-11-20,67.22199233233928
2025-11-21,67.25590000718832
2025-11-22,67.31590238213539
2025-11-23,67.39153070658446
2025-11-24,67.46243765175343
2025-11-25,67.5170694577694
2025-11-26,67.5496787533164
2025-11-27,67.55890814185143
2025-11-28,67.54906588196755
2025-11-29,67.52620805054903
2025-11-30,67.50291893929243
2025-12-01,67.47938013970852
2025-12-02,67.45660402446985
2025-12-03,67.44374734550715
2025-12-04,67.43477218508721
2025-12-05,67.4337961307168
2025-12-06,67.43933921158315
2025-12-07,67.44640312135219
2025-12-08,67.45412076056003
2025-12-09,67.46586519151926
2025-12-10,67.47479041427374
2025-12-11,67.47890346199274
2025-12-12,67.4783632272482
2025-12-13,67.47489482939244
2025-12-14,67.47079086124897
2025-12-15,67.46650076180697
2025-12-16,67.463981179595
2025-12-17,67.46511612653732
2025-12-18,67.46535219550132
2025-12-19,67.46618751645089
