Model,Configuration,RMSE,MAE,R²
Lasso Regression,All Features,3.8529331598077134,2.5351014773159726,0.9471399791798174
Lasso Regression,"No Climate (Rainfall, Temp, Monsoon removed)",3.8542468731877113,2.5434559622063655,0.9471039262546709
Lasso Regression,"No Economic (Diesel, Inflation, USD removed)",3.8233166461303068,2.5235028159879267,0.9479494988636485
Lasso Regression,"No Market (Indian, Supply removed)",3.9674036779024884,2.771782701763736,0.9439523816051376
Lasso Regression,"No Temporal (Month, Day removed)",3.8613546440891136,2.557410471483409,0.9469086508300626
LightGBM,All Features,8.199519216582962,6.631156745039968,0.7606016482785803
LightGBM,"No Climate (Rainfall, Temp, Monsoon removed)",8.76778064101621,7.389601095858813,0.7262691592026627
LightGBM,"No Economic (Diesel, Inflation, USD removed)",7.525578288282897,6.027513208995011,0.7983379693769259
LightGBM,"No Market (Indian, Supply removed)",8.999291812236368,7.253587367040426,0.7116227148689365
LightGBM,"No Temporal (Month, Day removed)",8.079931068650744,6.53954413139194,0.7675338669808109
Linear Regression,All Features,3.855327756505146,2.535104072868586,0.94707425379074
Linear Regression,"No Climate (Rainfall, Temp, Monsoon removed)",3.856808671521741,2.5432065861927353,0.9470335861273276
Linear Regression,"No Economic (Diesel, Inflation, USD removed)",3.8270093634575013,2.5309029117186306,0.9478489052553505
Linear Regression,"No Market (Indian, Supply removed)",3.9638546256744207,2.7645033394359633,0.9440526118668813
Linear Regression,"No Temporal (Month, Day removed)",3.864609250890075,2.560541650301901,0.9468191152643918
Random Forest,All Features,6.948671655494964,5.624954816016775,0.8280714656658932
Random Forest,"No Climate (Rainfall, Temp, Monsoon removed)",7.107233738020334,5.727335183955481,0.8201354494533851
Random Forest,"No Economic (Diesel, Inflation, USD removed)",5.614110839928703,4.461515642630155,0.8877706764487462
Random Forest,"No Market (Indian, Supply removed)",7.466907690233992,6.010642773542023,0.8014700904850754
Random Forest,"No Temporal (Month, Day removed)",7.07988390065858,5.782734266729909,0.8215170843626725
Ridge Regression,All Features,3.8608883112744428,2.543434786591109,0.9469214736580898
Ridge Regression,"No Climate (Rainfall, Temp, Monsoon removed)",3.861411997845666,2.551708086942159,0.9469070736576918
Ridge Regression,"No Economic (Diesel, Inflation, USD removed)",3.8316212276871258,2.5354237008774314,0.9477231367164893
Ridge Regression,"No Market (Indian, Supply removed)",3.9722152052190047,2.776143188006254,0.9438163540189417
Ridge Regression,"No Temporal (Month, Day removed)",3.870032105541134,2.5669447890508272,0.946669762754641
XGBoost,All Features,9.608746753553742,8.050942432145426,0.6712408305911749
XGBoost,"No Climate (Rainfall, Temp, Monsoon removed)",9.90648202401997,8.350370785132387,0.6505514107773948
XGBoost,"No Economic (Diesel, Inflation, USD removed)",7.571491102425207,5.860202461758951,0.7958698228217529
XGBoost,"No Market (Indian, Supply removed)",14.69020067534181,11.725531089036986,0.23157791751894286
XGBoost,"No Temporal (Month, Day removed)",10.508247204239312,8.841208141011403,0.6068077566980705
