Date,Commodity,Average_Price,Unit,Supply_Volume,Temperature,Precipitation,Wind_Speed,Air_Pressure,Rainfall_MM,USD_TO_NPR,Diesel,Season,is_festival,indian_tomato_price,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation
2022-01-01,Tomato_Big,115.0,kg,0.0,9.0,0.0,4.7,1023.5,0.0,117.49,119.0,Winter,0,101.0,False,False,False,True,6.03
2022-01-02,Tomato_Big,115.0,kg,8000.0,9.8,0.0,4.5,1022.3,0.0,117.49,119.0,Winter,0,115.0,False,False,False,True,6.03
2022-01-03,Tomato_Big,95.0,kg,22375.0,10.0,0.0,5.3,1020.6,0.0,117.49,119.0,Winter,0,95.0,False,False,False,True,6.03
2022-01-04,Tomato_Big,96.67,kg,8000.0,10.2,0.0,5.0,1020.6,0.0,117.47,119.0,Winter,0,96.67,False,False,False,True,6.03
2022-01-05,Tomato_Big,86.67,kg,32500.0,11.0,0.0,5.8,1020.6,0.0,117.55,119.0,Winter,0,86.67,False,False,False,True,6.03
2022-01-06,Tomato_Big,96.67,kg,11250.0,12.0,0.0,7.0,1020.3,0.0,117.42,119.0,Winter,0,96.67,False,False,False,True,6.03
2022-01-07,Tomato_Big,96.67,kg,32500.0,12.4,0.0,4.7,1021.5,0.0,117.59,119.0,Winter,0,96.67,False,False,False,True,6.03
2022-01-08,Tomato_Big,76.67,kg,0.0,12.3,0.0,4.3,1021.3,0.0,116.81,119.0,Winter,0,76.67,False,False,False,True,6.03
2022-01-09,Tomato_Big,75.0,kg,34500.0,12.3,0.0,5.3,1018.9,0.0,116.81,119.0,Winter,0,75.0,False,False,False,True,6.03
2022-01-10,Tomato_Big,76.67,kg,14000.0,12.4,0.0,6.7,1019.7,0.0,116.81,119.0,Winter,0,76.67,False,False,False,True,6.03
2022-01-11,Tomato_Big,76.67,kg,25000.0,11.8,0.0,4.8,1019.6,0.0,117.02,119.0,Winter,0,76.67,False,False,False,True,6.03
2022-01-12,Tomato_Big,76.67,kg,12000.0,10.3,0.0,6.1,1018.9,0.0,116.72,119.0,Winter,0,76.67,False,False,False,True,6.03
2022-01-13,Tomato_Big,76.67,kg,12000.0,9.5,3.0,6.2,1018.8,0.0,116.88,119.0,Winter,0,76.67,False,False,False,True,6.03
2022-01-14,Tomato_Big,76.67,kg,0.0,9.3,0.0,5.0,1019.4,0.0,116.68,119.0,Winter,0,76.67,False,False,False,True,6.03
2022-01-15,Tomato_Big,76.67,kg,0.0,9.4,0.0,5.8,1019.6,0.0,117.07,119.0,Winter,0,76.67,False,False,False,True,6.03
2022-01-16,Tomato_Big,66.67,kg,0.0,9.8,0.0,5.3,1021.1,0.0,117.07,119.0,Winter,0,66.67,False,False,False,True,6.03
2022-01-17,Tomato_Big,66.67,kg,11250.0,10.3,0.0,5.7,1022.5,0.0,117.07,119.0,Winter,0,66.67,False,False,False,True,6.03
