Date,Commodity,Average_Price,Unit,Supply_Volume,Temperature,Precipitation,Wind_Speed,Air_Pressure,Rainfall_MM,USD_TO_NPR,Diesel,Season,festival_name,Dashain,Tihar,Holi,NepalNewYear,is_festival
1/1/2022,Tomato_Big,115,kg,0,9,0,4.7,1023.5,0,117.49,119,Winter,,0,0,0,0,0
1/2/2022,Tomato_Big,115,kg,8000,9.8,0,4.5,1022.3,0,117.49,119,Winter,,0,0,0,0,0
1/3/2022,Tomato_Big,95,kg,22375,10,0,5.3,1020.6,0,117.49,119,Winter,,0,0,0,0,0
1/4/2022,Tomato_Big,96.67,kg,8000,10.2,0,5,1020.6,0,117.47,119,Winter,,0,0,0,0,0
1/5/2022,Tomato_Big,86.67,kg,32500,11,0,5.8,1020.6,0,117.55,119,Winter,,0,0,0,0,0
1/6/2022,Tomato_Big,96.67,kg,11250,12,0,7,1020.3,0,117.42,119,Winter,,0,0,0,0,0
1/7/2022,Tomato_Big,96.67,kg,32500,12.4,0,4.7,1021.5,0,117.59,119,Winter,,0,0,0,0,0
1/8/2022,Tomato_Big,76.67,kg,0,12.3,0,4.3,1021.3,0,116.81,119,Winter,,0,0,0,0,0
1/9/2022,Tomato_Big,75,kg,34500,12.3,0,5.3,1018.9,0,116.81,119,Winter,,0,0,0,0,0
1/10/2022,Tomato_Big,76.67,kg,14000,12.4,0,6.7,1019.7,0,116.81,119,Winter,,0,0,0,0,0
1/11/2022,Tomato_Big,76.67,kg,25000,11.8,0,4.8,1019.6,0,117.02,119,Winter,,0,0,0,0,0
1/12/2022,Tomato_Big,76.67,kg,12000,10.3,0,6.1,1018.9,0,116.72,119,Winter,,0,0,0,0,0
1/13/2022,Tomato_Big,76.67,kg,12000,9.5,3,6.2,1018.8,0,116.88,119,Winter,,0,0,0,0,0
1/14/2022,Tomato_Big,76.67,kg,0,9.3,0,5,1019.4,0,116.68,119,Winter,,0,0,0,0,0
1/15/2022,Tomato_Big,76.67,kg,0,9.4,0,5.8,1019.6,0,117.07,119,Winter,,0,0,0,0,0
1/16/2022,Tomato_Big,66.67,kg,0,9.8,0,5.3,1021.1,0,117.07,119,Winter,,0,0,0,0,0
1/17/2022,Tomato_Big,66.67,kg,11250,10.3,0,5.7,1022.5,0,117.07,119,Winter,,0,0,0,0,0
1/18/2022,Tomato_Big,66.67,kg,22500,10.6,0,6.8,1019.8,0,117.28,119,Winter,,0,0,0,0,0
1/19/2022,Tomato_Big,66.67,kg,24250,10.9,0,6.5,1017.1,0,117.86,122,Winter,,0,0,0,0,0
1/20/2022,Tomato_Big,55,kg,10625,9,0.3,3.7,1014.6,0,117.47,122,Winter,,0,0,0,0,0
1/21/2022,Tomato_Big,56.67,kg,23250,8.7,1.8,5.1,1014.4,0,117.73,122,Winter,,0,0,0,0,0
1/22/2022,Tomato_Big,56.67,kg,0,8.5,0,4.5,1013.9,0,117.56,122,Winter,,0,0,0,0,0
1/23/2022,Tomato_Big,56.67,kg,12000,9,0,5,1014.8,0,117.56,122,Winter,,0,0,0,0,0
1/24/2022,Tomato_Big,56.67,kg,16625,9.2,0,5,1015.2,0,117.56,122,Winter,,0,0,0,0,0
1/25/2022,Tomato_Big,55,kg,0,9.7,0,6.6,1015.4,0,117.8,122,Winter,,0,0,0,0,0
1/26/2022,Tomato_Big,56.67,kg,16000,8.2,0,8.7,1015.5,0,118.06,122,Winter,,0,0,0,0,0
1/27/2022,Tomato_Big,55,kg,10000,8.3,0,7.9,1015,0,118.25,122,Winter,,0,0,0,0,0
1/28/2022,Tomato_Big,56.67,kg,0,8.1,0,7.4,1016.1,0,118.62,122,Winter,,0,0,0,0,0
1/29/2022,Tomato_Big,66.67,kg,0,8,0,5.9,1016.6,0,118.44,122,Winter,,0,0,0,0,0
1/30/2022,Tomato_Big,65,kg,23250,8.7,0,8.4,1013,0,118.44,122,Winter,,0,0,0,0,0
1/31/2022,Tomato_Big,66.67,kg,18000,9.2,0,7.1,1014,0,118.44,122,Winter,,0,0,0,0,0
2/1/2022,Tomato_Big,69.17,kg,25500,8.35,10.48,7.68,1013.8,0,118.34,122,Winter,,0,0,0,0,0
2/2/2022,Tomato_Big,71.67,kg,33000,7.5,20.95,8.25,1013.6,0,118.24,122,Winter,,0,0,0,0,0
2/3/2022,Tomato_Big,74.17,kg,40500,6.65,31.43,8.83,1013.4,0,118.14,122,Winter,,0,0,0,0,0
2/4/2022,Tomato_Big,76.67,kg,48000,5.8,41.9,9.4,1013.2,0,118.04,122,Winter,,0,0,0,0,0
2/5/2022,Tomato_Big,76.67,kg,5000,7.1,8.4,5,1013,0,118.09,122,Winter,,0,0,0,0,0
2/6/2022,Tomato_Big,75,kg,27200,8.7,0,6.2,1017,0,118.09,122,Winter,,0,0,0,0,0
2/7/2022,Tomato_Big,76.67,kg,12000,9.5,0,6.6,1016.6,0,118.09,122,Winter,,0,0,0,0,0
2/8/2022,Tomato_Big,76.67,kg,36000,10.2,0,6.9,1016,0,117.92,122,Winter,,0,0,0,0,0
2/9/2022,Tomato_Big,86.67,kg,58450,11.3,0,6.6,1018.1,0,118.05,122,Winter,,0,0,0,0,0
2/10/2022,Tomato_Big,76.67,kg,11250,10.7,0,10.8,1017.2,0,118.2,122,Winter,,0,0,0,0,0
2/11/2022,Tomato_Big,76.67,kg,12125,9.8,0,8.8,1015.6,0,118.32,122,Winter,,0,0,0,0,0
2/12/2022,Tomato_Big,76.67,kg,0,10.2,0,5.3,1016.1,0,119.39,122,Winter,,0,0,0,0,0
2/13/2022,Tomato_Big,65,kg,0,10.8,0,6,1016.3,0,119.39,122,Winter,,0,0,0,0,0
2/14/2022,Tomato_Big,76.67,kg,33250,11.6,0,6.2,1016.4,0,119.39,122,Winter,,0,0,0,0,0
2/15/2022,Tomato_Big,76.67,kg,85375,11.9,0,7.3,1015.8,0,119.26,122,Winter,,0,0,0,0,0
2/16/2022,Tomato_Big,76.67,kg,55250,11.4,0,7.2,1013.4,0,119.16,122,Winter,,0,0,0,0,0
2/17/2022,Tomato_Big,76.67,kg,11250,11.5,0,6.9,1013.2,0,118.5,122,Winter,,0,0,0,0,0
2/18/2022,Tomato_Big,76.67,kg,66250,12,0,7,1015,0,118.4,122,Winter,,0,0,0,0,0
2/19/2022,Tomato_Big,76.67,kg,36750,11.9,0,7.9,1014.3,0,117.99,128,Winter,,0,0,0,0,0
2/20/2022,Tomato_Big,75,kg,48955,9.8,0,10.8,1010,0,117.99,128,Winter,,0,0,0,0,0
2/21/2022,Tomato_Big,75,kg,65500,9.7,1.8,7.6,1011.5,0,117.99,128,Winter,,0,0,0,0,0
2/22/2022,Tomato_Big,65,kg,67375,10.8,0,9.7,1017.7,0,117.86,128,Winter,,0,0,0,0,0
2/23/2022,Tomato_Big,65,kg,54000,12.8,0,6.1,1021.1,0,118.08,128,Winter,,0,0,0,0,0
2/24/2022,Tomato_Big,65,kg,89200,13.5,0,6.6,1020.3,0,117.83,128,Winter,,0,0,0,0,0
2/25/2022,Tomato_Big,65,kg,44750,12.8,0,8.8,1021.1,0,119.5,128,Winter,,0,0,0,0,0
2/26/2022,Tomato_Big,60,kg,64875,13.15,0,8.55,1020.8,0,118.78,128,Winter,,0,0,0,0,0
2/27/2022,Tomato_Big,55,kg,85000,13.5,0,8.3,1020.5,0,118.05,128,Winter,,0,0,0,0,0
2/28/2022,Tomato_Big,66.67,kg,41050,13.7,0,7.3,1019,0,118.05,128,Winter,,0,0,0,0,0
3/1/2022,Tomato_Big,66.67,kg,86640,14.3,0,7.1,1020.3,0,119.23,128,Spring,,0,0,0,0,0
3/2/2022,Tomato_Big,56.67,kg,62800,14.4,0,9.6,1020.2,0,119.56,128,Spring,,0,0,0,0,0
3/3/2022,Tomato_Big,56.67,kg,23750,14.8,0,10.7,1019.5,0,119.65,133,Spring,,0,0,0,0,0
3/4/2022,Tomato_Big,60.84,kg,35600,15.1,0,9.8,1018.15,0,120.29,133,Spring,,0,0,0,0,0
3/5/2022,Tomato_Big,65,kg,47450,15.4,0,8.9,1016.8,0,120.92,133,Spring,Holi,0,0,1,0,1
3/6/2022,Tomato_Big,65,kg,65425,16.4,0,7,1019.3,0,120.92,133,Spring,Holi,0,0,1,0,1
3/7/2022,Tomato_Big,65,kg,84650,17.8,0,7.3,1020.5,0,120.92,133,Spring,Holi,0,0,1,0,1
3/8/2022,Tomato_Big,55,kg,42975,18.2,0,8,1018.3,0,121.28,133,Spring,Holi,0,0,1,0,1
3/9/2022,Tomato_Big,56.67,kg,81950,18.2,0,8.8,1017.8,0,121.15,133,Spring,Holi,0,0,1,0,1
3/10/2022,Tomato_Big,56.67,kg,65700,17.9,0,9.6,1017.6,0,121.38,133,Spring,Holi,0,0,1,0,1
3/11/2022,Tomato_Big,46.67,kg,47500,17.8,0,8.2,1016.8,0,120.44,133,Spring,Holi,0,0,1,0,1
3/12/2022,Tomato_Big,46.67,kg,69250,18.2,0,9.6,1016.4,0,120.41,133,Spring,Holi,0,0,1,0,1
3/13/2022,Tomato_Big,45,kg,88375,18.8,0,7.7,1017.5,0,120.41,133,Spring,Holi,0,0,1,0,1
