Date,commodity,unit,minimum,maximum,average_price
2022-01-01,Tomato_Indian,केजी,101.0,101.0,101.0
2022-01-02,Tomato_Indian,केजी,110.0,120.0,115.0
2022-01-03,Tomato_Indian,केजी,90.0,100.0,95.0
2022-01-04,Tomato_Indian,केजी,90.0,100.0,96.67
2022-01-05,Tomato_Indian,केजी,80.0,90.0,86.67
2022-01-06,Tomato_Indian,केजी,90.0,100.0,96.67
2022-01-07,Tomato_Indian,केजी,90.0,100.0,96.67
2022-01-08,Tomato_Indian,केजी,70.0,80.0,76.67
2022-01-09,Tomato_Indian,केजी,70.0,80.0,75.0
2022-01-10,Tomato_Indian,केजी,70.0,80.0,76.67
2022-01-11,Tomato_Indian,केजी,70.0,80.0,76.67
2022-01-12,Tomato_Indian,केजी,70.0,80.0,76.67
2022-01-13,Tomato_Indian,केजी,70.0,80.0,76.67
2022-01-14,Tomato_Indian,केजी,70.0,80.0,76.67
2022-01-15,Tomato_Indian,केजी,70.0,80.0,76.67
2022-01-16,Tomato_Indian,केजी,60.0,70.0,66.67
2022-01-17,Tomato_Indian,केजी,60.0,70.0,66.67
2022-01-18,Tomato_Indian,केजी,60.0,70.0,65.0
2022-01-19,Tomato_Indian,केजी,60.0,70.0,66.67
2022-01-20,Tomato_Indian,केजी,50.0,60.0,56.67
2022-01-21,Tomato_Indian,केजी,50.0,60.0,56.67
2022-01-22,Tomato_Indian,केजी,50.0,60.0,55.0
2022-01-23,Tomato_Indian,केजी,50.0,60.0,55.0
2022-01-24,Tomato_Indian,केजी,50.0,60.0,56.67
2022-01-25,Tomato_Indian,केजी,50.0,60.0,55.0
2022-01-26,Tomato_Indian,केजी,50.0,60.0,56.67
2022-01-27,Tomato_Indian,केजी,50.0,60.0,56.67
2022-01-28,Tomato_Indian,केजी,50.0,60.0,55.0
2022-01-29,Tomato_Indian,केजी,60.0,70.0,65.0
2022-01-30,Tomato_Indian,केजी,60.0,70.0,65.0
2022-01-31,Tomato_Indian,केजी,60.0,70.0,66.67
2022-02-01,Tomato_Indian,केजी,50.0,60.0,56.67
2022-02-02,Tomato_Indian,केजी,50.0,60.0,56.67
2022-02-03,Tomato_Indian,केजी,60.0,70.0,65.0
2022-02-04,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-05,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-06,Tomato_Indian,केजी,70.0,80.0,75.0
2022-02-07,Tomato_Indian,केजी,70.0,80.0,75.0
2022-02-08,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-09,Tomato_Indian,केजी,80.0,90.0,86.67
2022-02-10,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-11,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-12,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-13,Tomato_Indian,केजी,60.0,70.0,65.0
2022-02-14,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-15,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-16,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-17,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-18,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-19,Tomato_Indian,केजी,70.0,80.0,76.67
2022-02-20,Tomato_Indian,केजी,70.0,80.0,75.0
2022-02-21,Tomato_Indian,केजी,70.0,80.0,75.0
2022-02-22,Tomato_Indian,केजी,60.0,70.0,65.0
2022-02-23,Tomato_Indian,केजी,60.0,70.0,65.0
2022-02-24,Tomato_Indian,केजी,60.0,70.0,65.0
2022-02-25,Tomato_Indian,केजी,60.0,70.0,65.0
2022-02-27,Tomato_Indian,केजी,50.0,60.0,55.0
2022-02-28,Tomato_Indian,केजी,60.0,70.0,66.67
2022-03-01,Tomato_Indian,केजी,60.0,70.0,66.67
2022-03-02,Tomato_Indian,केजी,50.0,60.0,56.67
2022-03-03,Tomato_Indian,केजी,50.0,60.0,56.67
2022-03-05,Tomato_Indian,केजी,60.0,70.0,65.0
2022-03-06,Tomato_Indian,केजी,60.0,70.0,65.0
2022-03-07,Tomato_Indian,केजी,60.0,70.0,65.0
2022-03-08,Tomato_Indian,केजी,50.0,60.0,55.0
2022-03-09,Tomato_Indian,केजी,50.0,60.0,56.67
2022-03-10,Tomato_Indian,केजी,40.0,50.0,46.67
2022-03-11,Tomato_Indian,केजी,50.0,60.0,56.67
2022-03-12,Tomato_Indian,केजी,50.0,60.0,55.0
2022-03-13,Tomato_Indian,केजी,40.0,50.0,45.0
2022-03-14,Tomato_Indian,केजी,50.0,60.0,55.0
2022-03-15,Tomato_Indian,केजी,55.0,65.0,60.0
2022-03-16,Tomato_Indian,केजी,50.0,60.0,56.67
2022-03-17,Tomato_Indian,केजी,50.0,60.0,55.0
2022-03-18,Tomato_Indian,केजी,60.0,70.0,65.0
2022-03-19,Tomato_Indian,केजी,55.0,60.0,57.5
2022-03-20,Tomato_Indian,केजी,55.0,65.0,60.0
2022-03-21,Tomato_Indian,केजी,60.0,70.0,65.0
2022-03-22,Tomato_Indian,केजी,60.0,70.0,65.0
2022-03-23,Tomato_Indian,केजी,65.0,75.0,70.0
2022-03-24,Tomato_Indian,केजी,55.0,65.0,60.0
2022-03-25,Tomato_Indian,केजी,60.0,70.0,65.0
2022-03-26,Tomato_Indian,केजी,60.0,70.0,65.0
2022-03-27,Tomato_Indian,केजी,60.0,70.0,65.0
2022-03-28,Tomato_Indian,केजी,60.0,70.0,66.67
2022-03-29,Tomato_Indian,केजी,50.0,60.0,55.0
2022-03-30,Tomato_Indian,केजी,50.0,60.0,55.0
2022-03-31,Tomato_Indian,केजी,50.0,60.0,56.67
2022-04-01,Tomato_Indian,केजी,50.0,60.0,55.0
2022-04-02,Tomato_Indian,केजी,50.0,60.0,56.67
2022-04-03,Tomato_Indian,केजी,50.0,60.0,55.0
2022-04-04,Tomato_Indian,केजी,50.0,60.0,55.0
2022-04-05,Tomato_Indian,केजी,50.0,60.0,55.0
2022-04-06,Tomato_Indian,केजी,60.0,70.0,65.0
2022-04-07,Tomato_Indian,केजी,60.0,70.0,65.0
2022-04-08,Tomato_Indian,केजी,60.0,70.0,65.0
2022-04-09,Tomato_Indian,केजी,60.0,70.0,65.0
2022-04-10,Tomato_Indian,केजी,70.0,80.0,75.0
2022-04-11,Tomato_Indian,केजी,70.0,80.0,75.0
2022-04-12,Tomato_Indian,केजी,70.0,80.0,75.0
2022-04-13,Tomato_Indian,केजी,50.0,60.0,56.67
2022-04-14,Tomato_Indian,केजी,70.0,80.0,76.67
2022-04-15,Tomato_Indian,केजी,60.0,70.0,66.67
2022-04-16,Tomato_Indian,केजी,60.0,70.0,66.67
2022-04-17,Tomato_Indian,केजी,50.0,60.0,55.0
2022-04-18,Tomato_Indian,केजी,60.0,70.0,65.0
2022-04-19,Tomato_Indian,केजी,70.0,80.0,76.67
2022-04-20,Tomato_Indian,केजी,50.0,60.0,56.67
2022-04-21,Tomato_Indian,केजी,60.0,70.0,65.0
2022-04-22,Tomato_Indian,केजी,50.0,60.0,56.67
2022-04-23,Tomato_Indian,केजी,70.0,80.0,76.67
2022-04-24,Tomato_Indian,केजी,50.0,60.0,55.0
2022-04-25,Tomato_Indian,केजी,80.0,90.0,86.67
2022-04-26,Tomato_Indian,केजी,70.0,80.0,76.67
2022-04-27,Tomato_Indian,केजी,60.0,70.0,63.33
2022-04-28,Tomato_Indian,केजी,60.0,70.0,66.67
