Date,USD_to_NPR
,USDNPR=X
2022-01-03,117.49180603027344
2022-01-04,117.46723937988281
2022-01-05,117.55131530761719
2022-01-06,117.42108154296875
2022-01-07,117.5907974243164
2022-01-10,116.81132507324219
2022-01-11,117.02059936523438
2022-01-12,116.71678161621094
2022-01-13,116.87882232666016
2022-01-14,116.68106842041016
2022-01-17,117.0669937133789
2022-01-18,117.28324890136719
2022-01-19,117.85549926757812
2022-01-20,117.47162628173828
2022-01-21,117.73344421386719
2022-01-24,117.56137084960938
2022-01-25,117.80206298828125
2022-01-26,118.06201934814453
2022-01-27,118.25189971923828
2022-01-28,118.61900329589844
2022-01-31,118.44135284423828
2022-02-01,118.01214599609375
2022-02-02,118.11471557617188
2022-02-03,118.37804412841797
2022-02-04,118.03866577148438
2022-02-07,118.08647155761719
2022-02-08,117.92483520507812
2022-02-09,118.05026245117188
2022-02-10,118.19517517089844
2022-02-11,118.32380676269531
2022-02-14,119.39326477050781
2022-02-15,119.25723266601562
2022-02-16,119.15542602539062
2022-02-17,118.50273132324219
2022-02-18,118.40128326416016
2022-02-21,117.98834991455078
2022-02-22,117.86267852783203
2022-02-23,118.07511138916016
2022-02-24,117.82889556884766
2022-02-25,119.50479125976562
2022-02-28,118.04668426513672
2022-03-01,119.2311782836914
2022-03-02,119.5634765625
2022-03-03,119.65343475341797
2022-03-04,120.28121948242188
2022-03-07,120.92171478271484
2022-03-08,121.28364562988281
2022-03-09,121.15190124511719
2022-03-10,121.38103485107422
2022-03-11,120.44493865966797
2022-03-14,120.40541076660156
2022-03-15,120.77771759033203
2022-03-16,120.75421905517578
2022-03-17,120.5159683227539
2022-03-18,119.75118255615234
2022-03-21,120.19408416748047
2022-03-22,120.16264343261719
2022-03-23,119.99909210205078
2022-03-24,120.64900970458984
2022-03-25,120.46699523925781
2022-03-28,120.64269256591797
2022-03-29,120.2037582397461
2022-03-30,119.99005126953125
2022-03-31,119.96279907226562
2022-04-01,119.4702377319336
2022-04-04,120.21326446533203
2022-04-05,119.2636947631836
2022-04-06,118.92887115478516
2022-04-07,119.65676879882812
2022-04-08,119.93171691894531
2022-04-11,119.81694030761719
2022-04-12,120.09685516357422
2022-04-13,120.21995544433594
2022-04-14,120.20364379882812
2022-04-15,120.25846862792969
2022-04-18,121.29364013671875
2022-04-19,121.39414978027344
2022-04-20,120.53071594238281
2022-04-21,120.80389404296875
2022-04-22,120.93840789794922
2022-04-25,120.91557312011719
2022-04-26,120.96085357666016
2022-04-27,121.08869934082031
2022-04-28,121.00636291503906
2022-04-29,120.62266540527344
2022-05-02,120.63909912109375
2022-05-03,120.68827819824219
2022-05-04,120.490478515625
2022-05-05,120.5151596069336
2022-05-06,120.5346908569336
2022-05-09,121.1781234741211
2022-05-10,122.44270324707031
2022-05-11,122.06858825683594
2022-05-12,121.96446228027344
2022-05-13,122.27735137939453
2022-05-16,122.01555633544922
2022-05-17,122.53308868408203
2022-05-18,122.20037078857422
2022-05-19,122.4049301147461
2022-05-20,122.70738220214844
2022-05-23,122.58628845214844
2022-05-24,122.46702575683594
2022-05-25,122.65719604492188
2022-05-26,122.4140396118164
2022-05-27,122.55427551269531
2022-05-30,122.49808502197266
2022-05-31,122.3823013305664
2022-06-01,122.5766372680664
2022-06-02,122.434814453125
2022-06-03,122.5024185180664
2022-06-06,122.84392547607422
2022-06-07,122.56663513183594
2022-06-08,122.90292358398438
2022-06-09,122.66205596923828
2022-06-10,122.8080825805664
2022-06-13,123.75166320800781
2022-06-14,123.37981414794922
2022-06-15,123.22933959960938
2022-06-16,123.1981201171875
2022-06-17,123.26655578613281
2022-06-20,123.49462127685547
2022-06-21,123.2364273071289
2022-06-22,123.27579498291016
2022-06-23,123.4964828491211
2022-06-24,123.70768737792969
2022-06-27,123.6400375366211
2022-06-28,123.66705322265625
2022-06-29,124.37479400634766
2022-06-30,124.6819839477539
2022-07-01,124.53630065917969
2022-07-04,124.64053344726562
2022-07-05,124.66470336914062
2022-07-06,124.8941879272461
2022-07-07,125.28277587890625
2022-07-08,125.00367736816406
2022-07-11,124.5458984375
2022-07-12,125.54778289794922
2022-07-13,125.55216979980469
2022-07-14,125.64266967773438
2022-07-15,126.02696228027344
2022-07-18,125.82134246826172
2022-07-19,126.1664047241211
2022-07-20,126.28081512451172
2022-07-21,126.15591430664062
2022-07-22,126.16682434082031
2022-07-25,125.5418472290039
2022-07-26,125.94506072998047
2022-07-27,125.8296127319336
2022-07-28,125.98360443115234
2022-07-29,126.0087661743164
2022-08-01,125.2848129272461
2022-08-02,124.80374908447266
2022-08-03,124.05882263183594
2022-08-04,124.83399200439453
2022-08-05,125.3817138671875
2022-08-08,125.60710906982422
2022-08-09,125.538818359375
2022-08-10,125.59696960449219
2022-08-11,125.55338287353516
2022-08-12,125.61200714111328
2022-08-15,125.69266510009766
2022-08-16,125.54231262207031
2022-08-17,125.2581558227539
2022-08-18,125.38432312011719
2022-08-19,125.73641204833984
2022-08-22,126.10053253173828
2022-08-23,126.02291107177734
2022-08-24,126.02106475830078
2022-08-25,126.01722717285156
2022-08-26,125.9063491821289
2022-08-29,126.63689422607422
2022-08-30,126.23526000976562
2022-08-31,125.27281951904297
2022-09-01,125.3930435180664
2022-09-02,125.48600769042969
2022-09-05,125.88790893554688
2022-09-06,126.06439208984375
2022-09-07,125.85403442382812
2022-09-08,126.11917114257812
2022-09-09,125.8023452758789
2022-09-12,125.39158630371094
2022-09-13,125.5967025756836
2022-09-14,124.82225799560547
2022-09-15,125.44140625
2022-09-16,125.51319122314453
2022-09-19,124.58289337158203
2022-09-20,125.63843536376953
2022-09-21,125.75117492675781
2022-09-22,126.25956726074219
2022-09-23,127.45417022705078
2022-09-26,128.4937286376953
2022-09-27,128.6099395751953
2022-09-28,128.7893829345703
2022-09-29,129.510986328125
2022-09-30,129.29820251464844
2022-10-03,128.62619018554688
2022-10-04,129.10887145996094
2022-10-05,128.86331176757812
2022-10-06,129.2198028564453
2022-10-07,129.36155700683594
2022-10-10,130.78775024414062
2022-10-11,129.8968963623047
2022-10-12,130.00308227539062
2022-10-13,129.9246063232422
2022-10-14,130.09585571289062
2022-10-17,130.1177215576172
2022-10-18,130.10536193847656
2022-10-19,129.89027404785156
2022-10-20,131.13705444335938
2022-10-21,130.50982666015625
2022-10-24,129.1392059326172
2022-10-25,130.0094757080078
2022-10-26,130.68222045898438
2022-10-27,129.46913146972656
2022-10-28,129.9817657470703
2022-10-31,130.83135986328125
2022-11-01,130.87747192382812
2022-11-02,130.4618682861328
2022-11-03,130.55751037597656
2022-11-04,130.6712646484375
2022-11-07,128.32830810546875
2022-11-08,129.68569946289062
2022-11-09,128.7771453857422
2022-11-10,128.45095825195312
2022-11-11,129.0600128173828
2022-11-14,126.64834594726562
2022-11-15,128.40284729003906
2022-11-16,127.99000549316406
2022-11-17,128.3803253173828
2022-11-18,128.87606811523438
2022-11-21,128.9384765625
2022-11-22,129.2400665283203
2022-11-23,129.00730895996094
2022-11-24,129.31593322753906
2022-11-25,129.01162719726562
2022-11-28,128.91612243652344
2022-11-29,129.095947265625
2022-11-30,129.11392211914062
2022-12-01,128.51414489746094
2022-12-02,128.3358154296875
2022-12-05,128.36061096191406
2022-12-06,129.2096405029297
2022-12-07,130.5340576171875
2022-12-08,130.2432403564453
2022-12-09,130.22311401367188
2022-12-12,130.2299346923828
2022-12-13,130.33612060546875
2022-12-14,130.56582641601562
2022-12-15,130.48304748535156
2022-12-16,130.82472229003906
2022-12-19,131.3260040283203
2022-12-20,130.60044860839844
2022-12-21,130.83358764648438
2022-12-22,130.75465393066406
2022-12-23,130.68740844726562
2022-12-26,130.89654541015625
2022-12-27,130.8731231689453
2022-12-28,131.02357482910156
2022-12-29,131.0189971923828
2022-12-30,130.82012939453125
2023-01-02,130.53590393066406
2023-01-03,130.8606414794922
2023-01-04,131.0754852294922
2023-01-05,130.8909149169922
2023-01-06,130.79022216796875
2023-01-09,130.6701202392578
2023-01-10,130.1795654296875
2023-01-11,129.2992706298828
2023-01-12,128.9485626220703
2023-01-13,128.89466857910156
2023-01-16,128.13937377929688
2023-01-17,129.17074584960938
2023-01-18,129.36073303222656
2023-01-19,128.3594207763672
2023-01-20,128.574462890625
2023-01-23,128.26292419433594
2023-01-24,128.68270874023438
2023-01-25,129.09756469726562
2023-01-26,129.02120971679688
2023-01-27,129.00128173828125
2023-01-30,128.92628479003906
2023-01-31,128.74024963378906
2023-02-01,129.62547302246094
2023-02-02,129.5894775390625
2023-02-03,129.90171813964844
2023-02-06,130.57302856445312
2023-02-07,130.67970275878906
2023-02-08,130.687255859375
2023-02-09,130.32583618164062
2023-02-10,130.30828857421875
2023-02-13,130.38449096679688
2023-02-14,130.69410705566406
2023-02-15,130.7747802734375
2023-02-16,131.19140625
2023-02-17,130.64938354492188
2023-02-20,130.14878845214844
2023-02-21,130.73768615722656
2023-02-22,130.99293518066406
2023-02-23,130.83522033691406
2023-02-24,130.7313690185547
2023-02-27,130.72315979003906
2023-02-28,130.95318603515625
2023-03-01,130.6326904296875
2023-03-02,130.40316772460938
2023-03-03,130.5618133544922
2023-03-06,129.53060913085938
2023-03-07,129.45068359375
2023-03-08,128.89407348632812
2023-03-09,129.66146850585938
2023-03-10,129.58511352539062
2023-03-13,128.98370361328125
2023-03-14,129.88052368164062
2023-03-15,130.29733276367188
2023-03-16,130.95555114746094
2023-03-17,130.76284790039062
2023-03-20,128.71202087402344
2023-03-21,130.58445739746094
2023-03-22,130.5881805419922
2023-03-23,130.63584899902344
2023-03-24,129.8374786376953
2023-03-27,130.45333862304688
2023-03-28,130.1114959716797
2023-03-29,129.78369140625
2023-03-30,130.01602172851562
2023-03-31,129.8910675048828
2023-04-03,129.6827392578125
2023-04-04,129.6827392578125
2023-04-05,130.15968322753906
2023-04-06,129.68505859375
2023-04-07,129.39785766601562
2023-04-10,128.36007690429688
2023-04-11,129.40496826171875
2023-04-12,129.49192810058594
2023-04-13,129.83912658691406
2023-04-14,129.83912658691406
2023-04-17,129.41015625
2023-04-18,129.4929962158203
2023-04-19,129.74429321289062
2023-04-20,130.24755859375
2023-04-21,129.84054565429688
2023-04-24,129.81027221679688
2023-04-25,129.16067504882812
2023-04-26,129.53323364257812
2023-04-27,129.3631591796875
2023-04-28,129.27590942382812
2023-05-01,127.63577270507812
2023-05-02,129.08251953125
2023-05-03,129.25962829589844
2023-05-04,129.2838897705078
2023-05-05,129.3138885498047
2023-05-08,129.13890075683594
2023-05-09,129.2871856689453
2023-05-10,129.85121154785156
2023-05-11,129.7908172607422
2023-05-12,129.76992797851562
2023-05-15,129.53973388671875
2023-05-16,130.20550537109375
2023-05-17,129.95916748046875
2023-05-18,130.28744506835938
2023-05-19,130.51002502441406
2023-05-22,130.3413848876953
2023-05-23,130.95437622070312
2023-05-24,130.89950561523438
2023-05-25,130.50833129882812
2023-05-26,130.72938537597656
2023-05-29,130.8356475830078
2023-05-30,130.5440673828125
2023-05-31,130.7007598876953
2023-06-01,130.68663024902344
2023-06-02,130.25515747070312
2023-06-05,130.55422973632812
2023-06-06,130.32798767089844
2023-06-07,130.68226623535156
2023-06-08,130.37451171875
2023-06-09,130.5061798095703
2023-06-12,130.29771423339844
2023-06-13,130.333740234375
2023-06-14,130.27011108398438
2023-06-15,129.8455810546875
2023-06-16,129.8655242919922
2023-06-19,129.20249938964844
2023-06-20,129.5797119140625
2023-06-21,129.81353759765625
2023-06-22,129.61834716796875
2023-06-23,129.55503845214844
2023-06-26,128.79612731933594
2023-06-27,129.64927673339844
2023-06-28,129.70899963378906
2023-06-29,129.75404357910156
2023-06-30,129.5836181640625
2023-07-03,128.822265625
2023-07-04,129.40135192871094
2023-07-05,129.7070770263672
2023-07-06,129.92556762695312
2023-07-07,130.47567749023438
2023-07-10,129.84559631347656
2023-07-11,130.6436004638672
2023-07-12,130.52745056152344
2023-07-13,128.85118103027344
2023-07-14,130.91763305664062
2023-07-17,129.5550537109375
2023-07-18,129.69940185546875
2023-07-19,129.7891387939453
2023-07-20,129.8933868408203
2023-07-21,129.7784881591797
2023-07-24,129.58006286621094
2023-07-25,129.3773193359375
2023-07-26,129.3777313232422
2023-07-27,129.7300262451172
2023-07-28,129.58985900878906
2023-07-31,129.50120544433594
2023-08-01,130.16531372070312
2023-08-02,130.13026428222656
2023-08-03,130.78553771972656
2023-08-04,130.76177978515625
2023-08-07,130.08261108398438
2023-08-08,130.7393798828125
2023-08-09,130.89794921875
2023-08-10,131.00051879882812
2023-08-11,130.9756317138672
2023-08-14,131.51512145996094
2023-08-15,131.24229431152344
2023-08-16,131.8675079345703
2023-08-17,131.60134887695312
2023-08-18,131.60134887695312
2023-08-21,131.12060546875
2023-08-22,131.3157958984375
2023-08-23,131.1844940185547
2023-08-24,130.79769897460938
2023-08-25,130.47763061523438
2023-08-28,130.7831268310547
2023-08-29,130.64854431152344
2023-08-30,130.79075622558594
2023-08-31,130.86199951171875
2023-09-01,130.73866271972656
2023-09-04,131.4202423095703
2023-09-05,130.8292236328125
2023-09-06,131.5212860107422
2023-09-07,131.3426513671875
2023-09-08,131.46804809570312
2023-09-11,131.04493713378906
2023-09-12,130.92578125
2023-09-13,131.12158203125
2023-09-14,131.17678833007812
2023-09-15,131.18971252441406
2023-09-18,131.0179443359375
2023-09-19,131.5253448486328
2023-09-20,131.5121307373047
2023-09-21,131.65518188476562
2023-09-22,131.49380493164062
2023-09-25,130.59071350097656
2023-09-26,131.3522186279297
2023-09-27,131.52728271484375
2023-09-28,131.66024780273438
2023-09-29,131.5454559326172
2023-10-02,131.54962158203125
2023-10-03,131.55209350585938
2023-10-04,131.56800842285156
2023-10-05,131.3648223876953
2023-10-06,131.19839477539062
2023-10-09,130.96627807617188
2023-10-10,131.59266662597656
2023-10-11,131.6478271484375
2023-10-12,131.52584838867188
2023-10-13,131.4877166748047
2023-10-16,131.6336212158203
2023-10-17,131.6383514404297
2023-10-18,131.4235076904297
2023-10-19,131.6267852783203
2023-10-20,131.57427978515625
2023-10-23,131.1509246826172
2023-10-24,131.42196655273438
2023-10-25,131.35520935058594
2023-10-26,131.46755981445312
2023-10-27,131.56004333496094
2023-10-30,131.26612854003906
2023-10-31,131.49220275878906
2023-11-01,131.56564331054688
2023-11-02,131.63839721679688
2023-11-03,131.3694305419922
2023-11-06,130.48626708984375
2023-11-07,131.5613250732422
2023-11-08,131.5091552734375
2023-11-09,131.72203063964844
2023-11-10,131.66403198242188
2023-11-13,131.20806884765625
2023-11-14,131.83030700683594
2023-11-15,131.5137481689453
2023-11-16,131.48159790039062
2023-11-17,131.6684112548828
2023-11-20,131.0105743408203
2023-11-21,131.7338409423828
2023-11-22,131.70298767089844
2023-11-23,131.61927795410156
2023-11-24,131.8029022216797
2023-11-27,131.38487243652344
2023-11-28,131.84295654296875
2023-11-29,131.7028045654297
2023-11-30,131.65570068359375
2023-12-01,131.8766632080078
2023-12-04,131.76646423339844
2023-12-05,131.9120330810547
2023-12-06,131.71615600585938
2023-12-07,131.90756225585938
2023-12-08,131.90159606933594
2023-12-11,132.05601501464844
2023-12-12,131.93569946289062
2023-12-13,131.7991485595703
2023-12-14,131.89340209960938
2023-12-15,131.7330780029297
2023-12-18,131.96388244628906
