Date,कृषि उपज,ईकाइ,आगमन
10/18/2025,गोलभेडा ठूलो,के.जी.,"८,०००.००"
10/18/2025,गोलभेडा सानो,के.जी.,"२१,५५०.००"
10/18/2025,आलु रातो,के.जी.,"१३२,८३६.००"
10/18/2025,प्याज सुकेको,के.जी.,"७६,९६०.००"
10/18/2025,गाजर,के.जी.,"८,५२५.००"
10/18/2025,बन्दा,के.जी.,"२५,५८०.००"
10/18/2025,काउली स्थानिय,के.जी.,"३४,२७०.००"
10/18/2025,मूला सेतो,के.जी.,"३१,८००.००"
10/18/2025,भन्टा लाम्चो,के.जी.,"१५,३५०.००"
10/18/2025,बोडी,के.जी.,"१६,५३१.००"
10/18/2025,मटरकोशा,के.जी.,४६.००
10/18/2025,घिउ सिमी,के.जी.,"६,०५०.००"
10/18/2025,टाटे सिमी,के.जी.,८५०.००
10/18/2025,भटमास,के.जी.,"२,२५०.००"
10/18/2025,तितो करेला,के.जी.,"५,३४०.००"
10/18/2025,लौका,के.जी.,"४,०००.००"
10/18/2025,परवर,के.जी.,"११,१००.००"
10/18/2025,घिरौला,के.जी.,"५,८००.००"
10/18/2025,फर्सी हरियो,के.जी.,"१३,९१०.००"
10/18/2025,भिण्डी,के.जी.,"१७,७००.००"
10/18/2025,सखरखण्ड,के.जी.,२००.००
10/18/2025,बरेला,के.जी.,"५,५५५.००"
10/18/2025,पिंडालू,के.जी.,१५०.००
10/18/2025,स्कूस,के.जी.,"१६,४७९.००"
10/18/2025,रायो साग,के.जी.,"३,६९५.००"
10/18/2025,तोरीको साग,के.जी.,३००.००
10/18/2025,प्याज हरियो,के.जी.,६७५.००
10/18/2025,च्याउ,के.जी.,"१,३२५.००"
10/18/2025,ब्रोकाउली,के.जी.,३५.००
10/18/2025,तोफु,के.जी.,३६०.००
10/18/2025,स्याउ,के.जी.,"१३,०००.००"
10/18/2025,केरा,के.जी.,"१,१००.००"
10/18/2025,कागती,के.जी.,"१,५००.००"
10/18/2025,सुन्तला,के.जी.,"६०,१३०.००"
10/18/2025,मौसम,के.जी.,"९,५४४.००"
10/18/2025,काक्रो,के.जी.,"३७,०५९.००"
10/18/2025,निबुवा,के.जी.,"४,३२५.००"
10/18/2025,चाक्सी,के.जी.,"१,२००.००"
10/18/2025,मेवा,के.जी.,५००.००
10/18/2025,अम्बा,के.जी.,७०.००
10/18/2025,लप्सी,के.जी.,"१,४००.००"
10/18/2025,अमला,के.जी,"१,०००.००"
10/18/2025,अदुवा,के.जी.,"५,४००.००"
10/18/2025,खुर्सानी हरियो,के जी,"१७,२१०.००"
10/18/2025,भेडे खु्र्सानी,के.जी.,"७,५५०.००"
10/18/2025,हरियो धनिया,के.जी.,"३,२२०.००"
10/18/2025,माछा ताजा,के.जी.,"१९,८५६.००"
