Date,commodity,average_price,Arrival,temperature_avg,wind_speed,air_pressure,rainfall_mm,diesel,USD_to_NPR,month
2022-01-01,Tomato_Big,115.0,0.0,9.0,4.7,1023.5,0.0,122.0,117.49180603027344,1
2022-01-02,Tomato_Big,115.0,8000.0,9.8,4.5,1022.3,0.0,122.0,117.49180603027344,1
2022-01-03,Tomato_Big,95.0,22375.0,10.0,5.3,1020.6,0.0,122.0,117.49180603027344,1
2022-01-04,Tomato_Big,95.0,8000.0,10.2,5.0,1020.6,0.0,122.0,117.4672393798828,1
2022-01-05,Tomato_Big,85.0,32500.0,11.0,5.8,1020.6,0.0,122.0,117.5513153076172,1
2022-01-06,Tomato_Big,95.0,11250.0,12.0,7.0,1020.3,0.0,122.0,117.42108154296876,1
2022-01-07,Tomato_Big,95.0,32500.0,12.4,4.7,1021.5,0.0,122.0,117.5907974243164,1
2022-01-08,Tomato_Big,75.0,0.0,12.3,4.3,1021.3,0.0,122.0,116.8113250732422,1
2022-01-09,Tomato_Big,75.0,34500.0,12.3,5.3,1018.9,0.0,122.0,116.8113250732422,1
2022-01-10,Tomato_Big,75.0,14000.0,12.4,6.7,1019.7,0.0,122.0,116.8113250732422,1
2022-01-11,Tomato_Big,75.0,25000.0,11.8,4.8,1019.6,0.0,122.0,117.02059936523438,1
2022-01-12,Tomato_Big,75.0,12000.0,10.3,6.1,1018.9,0.0,122.0,116.71678161621094,1
2022-01-13,Tomato_Big,75.0,12000.0,9.5,6.2,1018.8,0.0,122.0,116.87882232666016,1
2022-01-14,Tomato_Big,75.0,0.0,9.3,5.0,1019.4,0.0,122.0,116.68106842041016,1
2022-01-15,Tomato_Big,75.0,0.0,9.4,5.8,1019.6,0.0,122.0,117.0669937133789,1
2022-01-16,Tomato_Big,65.0,0.0,9.8,5.3,1021.1,0.0,122.0,117.0669937133789,1
2022-01-17,Tomato_Big,65.0,11250.0,10.3,5.7,1022.5,0.0,122.0,117.0669937133789,1
2022-01-18,Tomato_Big,65.0,22500.0,10.6,6.8,1019.8,0.0,122.0,117.2832489013672,1
2022-01-19,Tomato_Big,65.0,24250.0,10.9,6.5,1017.1,0.0,122.0,117.85549926757812,1
2022-01-20,Tomato_Big,55.0,10625.0,9.0,3.7,1014.6,0.0,125.0,117.47162628173828,1
2022-01-21,Tomato_Big,55.0,23250.0,8.7,5.1,1014.4,0.0,125.0,117.7334442138672,1
2022-01-22,Tomato_Big,55.0,0.0,8.5,4.5,1013.9,0.0,125.0,117.56137084960938,1
2022-01-23,Tomato_Big,55.0,12000.0,9.0,5.0,1014.8,0.0,125.0,117.56137084960938,1
2022-01-24,Tomato_Big,55.0,16625.0,9.2,5.0,1015.2,0.0,125.0,117.56137084960938,1
2022-01-25,Tomato_Big,55.0,0.0,9.7,6.6,1015.4,0.0,125.0,117.80206298828124,1
2022-01-26,Tomato_Big,55.0,16000.0,8.2,8.7,1015.5,0.0,125.0,118.06201934814452,1
2022-01-27,Tomato_Big,55.0,10000.0,8.3,7.9,1015.0,0.0,125.0,118.25189971923828,1
2022-01-28,Tomato_Big,55.0,0.0,8.1,7.4,1016.1,0.0,125.0,118.61900329589844,1
2022-01-29,Tomato_Big,65.0,0.0,8.0,5.9,1016.6,0.0,125.0,118.44135284423828,1
2022-01-30,Tomato_Big,65.0,23250.0,8.7,8.4,1013.0,0.0,125.0,118.44135284423828,1
2022-01-31,Tomato_Big,65.0,18000.0,9.2,7.1,1014.0,0.0,125.0,118.44135284423828,1
2022-02-01,Tomato_Big,67.5,14125.0,8.1,7.2,1011.6,0.0,125.0,118.01214599609376,2
2022-02-02,Tomato_Big,70.0,12000.0,8.1,7.5,1014.6,0.0,128.0,118.11471557617188,2
2022-02-03,Tomato_Big,72.5,18000.0,9.4,4.5,1015.9,0.0,128.0,118.37804412841795,2
2022-02-04,Tomato_Big,75.0,48000.0,5.8,9.4,1013.2,0.0,128.0,118.03866577148438,2
2022-02-05,Tomato_Big,75.0,5000.0,7.1,5.0,1013.0,0.0,128.0,118.0864715576172,2
2022-02-06,Tomato_Big,75.0,27200.0,8.7,6.2,1017.0,0.0,128.0,118.0864715576172,2
2022-02-07,Tomato_Big,75.0,12000.0,9.5,6.6,1016.6,0.0,128.0,118.0864715576172,2
2022-02-08,Tomato_Big,75.0,36000.0,10.2,6.9,1016.0,0.0,128.0,117.92483520507812,2
2022-02-09,Tomato_Big,85.0,58450.0,11.3,6.6,1018.1,0.0,128.0,118.05026245117188,2
2022-02-10,Tomato_Big,75.0,11250.0,10.7,10.8,1017.2,0.0,128.0,118.19517517089844,2
2022-02-11,Tomato_Big,75.0,12125.0,9.8,8.8,1015.6,0.0,128.0,118.32380676269533,2
2022-02-12,Tomato_Big,75.0,0.0,10.2,5.3,1016.1,0.0,128.0,119.3932647705078,2
2022-02-13,Tomato_Big,65.0,0.0,10.8,6.0,1016.3,0.0,128.0,119.3932647705078,2
2022-02-14,Tomato_Big,75.0,33250.0,11.6,6.2,1016.4,0.0,128.0,119.3932647705078,2
2022-02-15,Tomato_Big,75.0,85375.0,11.9,7.3,1015.8,0.0,128.0,119.25723266601562,2
2022-02-16,Tomato_Big,75.0,55250.0,11.4,7.2,1013.4,0.0,128.0,119.15542602539062,2
2022-02-17,Tomato_Big,75.0,11250.0,11.5,6.9,1013.2,0.0,128.0,118.5027313232422,2
2022-02-18,Tomato_Big,75.0,66250.0,12.0,7.0,1015.0,0.0,128.0,118.40128326416016,2
2022-02-19,Tomato_Big,75.0,36750.0,11.9,7.9,1014.3,0.0,128.0,117.98834991455078,2
2022-02-20,Tomato_Big,75.0,48955.0,9.8,10.8,1010.0,0.0,128.0,117.98834991455078,2
2022-02-21,Tomato_Big,75.0,65500.0,9.7,7.6,1011.5,0.0,133.0,117.98834991455078,2
2022-02-22,Tomato_Big,65.0,67375.0,10.8,9.7,1017.7,0.0,133.0,117.86267852783205,2
2022-02-23,Tomato_Big,65.0,54000.0,12.8,6.1,1021.1,0.0,133.0,118.07511138916016,2
2022-02-24,Tomato_Big,65.0,89200.0,13.5,6.6,1020.3,0.0,133.0,117.82889556884766,2
2022-02-25,Tomato_Big,65.0,44750.0,12.8,8.8,1021.1,0.0,133.0,119.50479125976562,2
2022-02-26,Tomato_Big,60.0,23000.0,13.0,7.2,1022.2,0.0,133.0,118.04668426513672,2
2022-02-27,Tomato_Big,55.0,85000.0,13.5,8.3,1020.5,0.0,133.0,118.04668426513672,2
2022-02-28,Tomato_Big,65.0,41050.0,13.7,7.3,1019.0,0.0,133.0,118.04668426513672,2
2022-03-01,Tomato_Big,65.0,86640.0,14.3,7.1,1020.3,0.0,133.0,119.2311782836914,3
2022-03-02,Tomato_Big,55.0,62800.0,14.4,9.6,1020.2,0.0,133.0,119.5634765625,3
2022-03-03,Tomato_Big,55.0,23750.0,14.8,10.7,1019.5,0.0,133.0,119.65343475341795,3
2022-03-04,Tomato_Big,60.0,12150.0,15.3,9.2,1018.1,0.0,138.0,120.28121948242188,3
2022-03-05,Tomato_Big,65.0,47450.0,15.4,8.9,1016.8,0.0,138.0,120.92171478271484,3
2022-03-06,Tomato_Big,65.0,65425.0,16.4,7.0,1019.3,0.0,138.0,120.92171478271484,3
2022-03-07,Tomato_Big,65.0,84650.0,17.8,7.3,1020.5,0.0,138.0,120.92171478271484,3
2022-03-08,Tomato_Big,55.0,42975.0,18.2,8.0,1018.3,0.0,138.0,121.2836456298828,3
2022-03-09,Tomato_Big,55.0,81950.0,18.2,8.8,1017.8,0.0,138.0,121.1519012451172,3
2022-03-10,Tomato_Big,55.0,65700.0,17.9,9.6,1017.6,0.0,138.0,121.38103485107422,3
2022-03-11,Tomato_Big,45.0,47500.0,17.8,8.2,1016.8,0.0,138.0,120.44493865966795,3
2022-03-12,Tomato_Big,45.0,69250.0,18.2,9.6,1016.4,0.0,138.0,120.40541076660156,3
2022-03-13,Tomato_Big,45.0,88375.0,18.8,7.7,1017.5,0.0,138.0,120.40541076660156,3
2022-03-14,Tomato_Big,55.0,35506.0,20.0,7.2,1017.4,0.0,138.0,120.40541076660156,3
2022-03-15,Tomato_Big,60.0,56500.0,20.5,9.2,1014.4,0.0,138.0,120.77771759033205,3
2022-03-16,Tomato_Big,55.0,93695.0,20.2,9.2,1013.1,0.0,138.0,120.75421905517578,3
2022-03-17,Tomato_Big,65.0,107243.0,20.6,7.7,1015.8,0.0,143.0,120.5159683227539,3
2022-03-18,Tomato_Big,65.0,93260.0,20.4,6.8,1016.3,0.0,143.0,119.75118255615234,3
2022-03-19,Tomato_Big,57.5,97000.0,21.3,8.7,1014.1,0.0,143.0,120.19408416748048,3
2022-03-20,Tomato_Big,60.0,50625.0,21.0,9.0,1012.8,0.0,143.0,120.19408416748048,3
2022-03-21,Tomato_Big,65.0,55575.0,20.3,9.4,1013.4,0.0,143.0,120.19408416748048,3
2022-03-22,Tomato_Big,65.0,97350.0,19.9,8.1,1014.1,0.0,143.0,120.1626434326172,3
2022-03-23,Tomato_Big,70.0,132595.0,19.9,9.1,1014.6,0.0,143.0,119.99909210205078,3
2022-03-24,Tomato_Big,67.5,156215.0,18.9,10.0,1011.6,0.0,143.0,120.64900970458984,3
2022-03-25,Tomato_Big,65.0,185920.0,19.8,13.4,1012.2,0.0,143.0,120.4669952392578,3
2022-03-26,Tomato_Big,65.0,85960.0,19.8,8.2,1013.5,0.0,143.0,120.64269256591795,3
2022-03-27,Tomato_Big,65.0,59825.0,20.1,10.4,1016.2,0.0,143.0,120.64269256591795,3
2022-03-28,Tomato_Big,60.0,90275.0,20.1,9.9,1014.7,0.0,143.0,120.64269256591795,3
2022-03-29,Tomato_Big,55.0,45500.0,20.2,9.1,1013.8,0.0,143.0,120.2037582397461,3
2022-03-30,Tomato_Big,55.0,147150.0,20.0,7.2,1013.7,0.0,143.0,119.99005126953124,3
2022-03-31,Tomato_Big,55.0,107060.0,20.5,9.8,1014.3,0.0,143.0,119.96279907226562,3
2022-04-01,Tomato_Big,55.0,110200.0,20.8,7.1,1014.3,0.0,143.0,119.4702377319336,4
2022-04-02,Tomato_Big,55.0,106650.0,21.8,9.8,1016.2,0.0,143.0,120.21326446533205,4
2022-04-03,Tomato_Big,55.0,141475.0,22.2,8.5,1015.4,0.0,143.0,120.21326446533205,4
2022-04-04,Tomato_Big,55.0,105025.0,22.0,11.0,1014.9,0.0,143.0,120.21326446533205,4
2022-04-05,Tomato_Big,55.0,72750.0,22.3,9.4,1018.4,0.0,143.0,119.2636947631836,4
2022-04-06,Tomato_Big,65.0,80900.0,22.2,11.0,1018.6,0.0,163.0,118.92887115478516,4
2022-04-07,Tomato_Big,65.0,125650.0,21.5,10.0,1017.7,0.0,163.0,119.65676879882812,4
2022-04-08,Tomato_Big,65.0,78285.0,21.9,9.8,1016.0,0.0,163.0,119.93171691894533,4
2022-04-09,Tomato_Big,65.0,72385.0,20.2,6.5,1014.5,0.0,163.0,119.8169403076172,4
2022-04-10,Tomato_Big,75.0,79875.0,20.4,8.2,1012.6,0.0,163.0,119.8169403076172,4
2022-04-11,Tomato_Big,75.0,121975.0,21.9,8.5,1012.9,0.0,163.0,119.8169403076172,4
2022-04-12,Tomato_Big,75.0,57350.0,22.4,11.5,1013.4,0.0,163.0,120.09685516357422,4
2022-04-13,Tomato_Big,55.0,82450.0,22.4,9.0,1011.6,0.0,163.0,120.21995544433594,4
2022-04-14,Tomato_Big,65.0,107950.0,22.6,10.3,1011.2,0.0,163.0,120.20364379882812,4
2022-04-15,Tomato_Big,55.0,93750.0,22.5,8.8,1010.8,0.0,163.0,120.25846862792967,4
2022-04-16,Tomato_Big,55.0,77935.0,22.2,9.8,1011.1,0.0,163.0,121.29364013671876,4
2022-04-17,Tomato_Big,55.0,40075.0,21.8,9.5,1012.5,0.0,163.0,121.29364013671876,4
2022-04-18,Tomato_Big,55.0,76885.0,22.5,9.2,1014.8,0.0,163.0,121.29364013671876,4
2022-04-19,Tomato_Big,54.96124031007752,64475.0,21.0,10.1,1014.8,0.0,163.0,121.39414978027344,4
2022-04-20,Tomato_Big,54.92248062015504,48450.0,19.5,5.4,1014.5,0.0,163.0,120.5307159423828,4
2022-04-21,Tomato_Big,54.883720930232556,46575.0,22.1,8.2,1015.1,0.0,163.0,120.80389404296876,4
2022-04-22,Tomato_Big,54.84496124031008,59156.0,20.6,13.3,1014.6,0.0,163.0,120.93840789794922,4
2022-04-23,Tomato_Big,54.8062015503876,48750.0,21.9,9.0,1014.3,0.0,163.0,120.9155731201172,4
2022-04-24,Tomato_Big,54.76744186046512,47700.0,22.6,9.7,1012.1,0.0,163.0,120.9155731201172,4
2022-04-25,Tomato_Big,54.72868217054263,39500.0,22.8,7.0,1012.5,0.0,163.0,120.9155731201172,4
2022-04-26,Tomato_Big,54.689922480620154,16500.0,23.3,8.6,1013.9,0.0,163.0,120.96085357666016,4
2022-04-27,Tomato_Big,54.651162790697676,22200.0,22.9,9.0,1013.8,0.0,163.0,121.08869934082033,4
2022-04-28,Tomato_Big,54.6124031007752,27050.0,23.5,9.5,1015.2,0.0,163.0,121.00636291503906,4
2022-04-29,Tomato_Big,54.57364341085271,49650.0,19.9,7.5,1013.2,0.0,163.0,120.62266540527344,4
2022-04-30,Tomato_Big,54.53488372093023,8450.0,18.0,7.9,1012.2,0.0,163.0,120.63909912109376,4
2022-05-01,Tomato_Big,54.49612403100775,40175.0,21.4,7.7,1012.4,0.0,163.0,120.63909912109376,5
2022-05-02,Tomato_Big,54.457364341085274,35700.0,19.0,6.9,1011.7,0.0,163.0,120.63909912109376,5
2022-05-03,Tomato_Big,54.41860465116279,42375.0,20.7,7.4,1013.7,0.0,163.0,120.6882781982422,5
2022-05-04,Tomato_Big,54.37984496124031,33470.0,20.7,8.4,1015.3,0.0,163.0,120.490478515625,5
2022-05-05,Tomato_Big,54.34108527131783,18125.0,20.8,7.9,1014.2,0.0,163.0,120.5151596069336,5
2022-05-06,Tomato_Big,54.30232558139535,29450.0,20.2,8.5,1014.6,0.0,163.0,120.5346908569336,5
2022-05-07,Tomato_Big,54.263565891472865,28250.0,20.2,7.6,1014.3,0.0,163.0,121.1781234741211,5
2022-05-08,Tomato_Big,54.224806201550386,31000.0,20.4,7.6,1014.1,0.0,163.0,121.1781234741211,5
2022-05-09,Tomato_Big,54.18604651162791,48675.0,21.3,7.2,1014.5,0.0,163.0,121.1781234741211,5
2022-05-10,Tomato_Big,54.14728682170543,16250.0,22.3,8.2,1013.6,0.0,163.0,122.44270324707033,5
2022-05-11,Tomato_Big,54.10852713178294,22000.0,20.8,7.4,1012.2,0.0,163.0,122.06858825683594,5
2022-05-12,Tomato_Big,54.06976744186046,11250.0,22.5,6.9,1011.1,0.0,163.0,121.96446228027344,5
2022-05-15,Tomato_Big,53.95348837209302,14500.0,22.0,5.4,1011.0,0.0,163.0,122.01555633544922,5
