,effective Date,effective Time,petrol,diesel,kerosene,LPG,ATF (DP),ATF (DF)
0,2082.05.15 (2025.08.31),24:00 hrs,161.0,145.0,145.0,1910.0,127.0,966.0
1,2082.06.14 (2025.09.30),24:00 hrs,161.0,145.0,145.0,1910.0,127.0,966.0
2,2082.05.30 (2025.09.15),24:00 hrs,158.5,142.5,142.5,1910.0,127.0,966.0
3,2082.04.30(2025.08.15),24:00 hrs,161.0,149.0,149.0,1910.0,128.0,973.0
4,2082.04.15 (2025.07.31),24:00 hrs,159.0,150.0,150.0,1910.0,128.0,973.0
5,2082.03.31 (2025.07.15),24:00 hrs,160.0,148.0,148.0,1910.0,125.0,952.0
6,2082.03.16 (2025.06.30),24:00 hrs,165.0,149.0,149.0,1910.0,125.0,952.0
7,2082.03.01 (2025.06.01),24:00 hrs,160.0,145.0,145.0,1910.0,118.0,901.0
8,2082.02.17(2025.05.31),24:00 hrs,159.0,143.0,143.0,1910.0,118.0,901.0
9,2081.12.18(2025.03.31),24:00 hrs,163.0,149.0,149.0,1910.0,125.0,952.0
10,2081.12.03(2025.03.16),24:00 hrs,163.0,151.0,151.0,1910.0,132.0,1003.0
11,2081.11.17(2025.03.01),24:00 hrs,168.0,155.0,155.0,1910.0,132.0,1003.0
12,2081.10.02 (2025.01.15),24:00 hrs,165.0,156.0,156.0,1910.0,126.0,960.0
13,2081.09.16 (2024.12.31),24:00 hrs,163.0,153.0,153.0,1910.0,126.0,960.0
14,2081.08.30 (2024.12.15),24:00 hrs,162.0,151.0,151.0,1910.0,128.0,975.0
15,2081.08.15 (2024.11.30),24:00 hrs,160.0,153.0,153.0,1910.0,128.0,975.0
16,2080.11.03 (2024.02.15),24:00 hrs,172.0,160.0,160.0,1910.0,136.0,1035.0
17,2025.05.15(2082.02.01),24:00 hrs,157.0,142.0,142.0,1910.0,121.0,923.0
18,2025.04.30(2082.01.17),24:00 hrs,158.0,145.0,145.0,1910.0,121.0,923.0
19,2025.04.15(2082.01.02),24:00 hrs,160.0,146.0,146.0,1910.0,125.0,952.0
20,2025.02.16(2081.11.03),24:00 hrs,168.0,156.0,156.0,1910.0,132.0,1003.0
21,2025.01.31(2081.10.18),24:00 hrs,167.0,160.0,160.0,1910.0,132.0,1003.0
22,2024.11.15(2081.07.30),24:00 hrs,159.0,153.0,153.0,1910.0,126.0,960.0
23,2024.10.31(2081.07.15),24:00 hrs,159.0,150.0,150.0,1910.0,126.0,960.0
24,2024.10.15(2081.06.29),24:00 hrs,159.0,151.0,151.0,1910.0,126.0,960.0
25,2024.09.30(2081.06.14),24:00 hrs,158.0,147.0,147.0,1910.0,126.0,960.0
26,2024.09.16(2081.05.30),24:00 hrs,159.0,149.0,149.0,1910.0,132.0,1005.0
27,2024.09.01(2081.05.15),24:00 hrs,163.0,154.0,154.0,1910.0,132.0,1005.0
28,2024.08.16(2081.04.31),24:00 hrs,165.0,155.0,155.0,1910.0,137.0,1042.0
29,2024.07.31(2081.04.16),24:00 hrs,170.0,158.0,158.0,1910.0,137.0,1042.0
30,2024.07.15(2081.03.31),24:00 hrs,171.0,160.0,160.0,1910.0,137.0,1042.0
31,2024.06.30( 2081.03.16),24:00 hrs,167.0,157.0,157.0,1910.0,137.0,1042.0
32,2024.05.31(2081.02.18),24:00 hrs,168.0,153.0,153.0,1910.0,137.0,1042.0
33,2024.05.16(2081.02.02),24:00 hrs,171.0,154.0,154.0,1910.0,137.0,1042.0
34,2024.04.30(2081.01.18),24:00 hrs,178.0,159.0,159.0,1910.0,137.0,1042.0
35,2024.04.16(2081.01.03),24:00 hrs,178.0,161.0,161.0,1910.0,136.0,1035.0
36,2024.04.01(2080.12.18),24:00 hrs,175.0,158.0,158.0,1910.0,136.0,1035.0
37,2024.03.15(2080.12.02),24:00 hrs,171.0,158.0,158.0,1910.0,136.0,1035.0
38,2024.01.31(2080.10.17),24:00 hrs,170.0,158.0,158.0,1910.0,136.0,1035.0
39,2024.01.15(2080.10.01),24:00 hrs,166.0,156.0,156.0,1895.0,136.0,1035.0
40,2023.12.31(2080.09.15),24:00 hrs,167.0,157.0,157.0,1895.0,136.0,1035.0
41,2023.12.15(2080.08.29),24:00 hrs,167.0,157.0,157.0,1895.0,136.0,1035.0
42,2023.11.30(2080.08.14),24:00 hrs,170.0,160.0,160.0,1895.0,136.0,1035.0
43,2023.11.01(2080.07.14),24:00 hrs,172.0,164.0,164.0,1895.0,136.0,1035.0
44,2023.10.15(2080.06.28),24:00 hrs,172.0,168.0,168.0,1895.0,136.0,1035.0
45,2023.10.01(2080.06.14),24:00 hrs,183.0,173.0,173.0,1895.0,136.0,1035.0
46,2023.09.30(2080.06.13),24:00 hrs,185.0,179.0,179.0,2110.0,144.0,1095.0
47,2023.09.15(2080.05.29),24:00 hrs,183.0,173.0,173.0,1895.0,136.0,1035.0
48,2023.09.01(2080.05.15),24:00 hrs,182.0,170.0,170.0,1895.0,136.0,1035.0
49,2023.08.16(2080.04.31),24:00 hrs,178.0,167.0,167.0,1660.0,136.0,1035.0
50,2023.08.01(2080.04.16),24:00 hrs,173.0,153.0,153.0,1660.0,136.0,1035.0
51,2023.07.16(2080.03.31),24:00 hrs,164.0,146.0,146.0,1790.0,136.0,1035.0
52,2023.07.03(2080.03.18),24:00 hrs,170.0,150.0,150.0,1800.0,136.0,1035.0
53,2023.06.20(2080.03.05),24:00 hrs,175.0,155.0,155.0,1800.0,150.0,1150.0
54,2023.05.16(2080.02.02),24:00 hrs,175.0,155.0,155.0,1800.0,160.0,1350.0
55,2023.04.03(2079.12.20),24:00 hrs,175.0,165.0,165.0,1800.0,160.0,1350.0
56,2023.02.06(2079.10.23),24:00 hrs,178.0,175.0,175.0,1800.0,170.0,1420.0
57,2023.01.08(2079.09.24),24:00 hrs,175.0,172.0,172.0,1800.0,170.0,1420.0
58,2022.12.16(2079.09.01),24:00 hrs,178.0,175.0,175.0,1800.0,190.0,1645.0
59,2022.09.01(2079.05.16),24:00 hrs,181.0,178.0,178.0,1800.0,190.0,1645.0
60,2022.07.04(2079.03.20),24:00 hrs,181.0,172.0,172.0,1800.0,190.0,1645.0
61,2022.06.25(2079.03.11),24:00 hrs,179.0,163.0,163.0,1800.0,185.0,1645.0
62,2022.06.19(2079.03.05),24:00 hrs,199.0,192.0,192.0,1800.0,185.0,1645.0
63,2022.06.09(2079.02.26),24:00 hrs,178.0,165.0,165.0,1800.0,166.0,1545.0
64,2022.06.02(2079.02.19),24:00 hrs,170.0,153.0,153.0,1800.0,166.0,1545.0
65,2022.05.22(2079.02.08),24:00 hrs,180.0,163.0,163.0,1800.0,166.0,1545.0
66,2022.05.14(2079.01.31),24:00 hrs,170.0,153.0,153.0,1600.0,156.0,1545.0
67,2022.04.05(2078.12.22),24:00 hrs,160.0,143.0,143.0,1600.0,156.0,1545.0
68,2022.03.16(2078.12.02),24:00 hrs,155.0,138.0,138.0,1575.0,151.0,1495.0
69,2022.03.03(2078.11.19),24:00 hrs,150.0,133.0,133.0,1575.0,136.0,1295.0
70,2022.02.20(2078.11.08),24:00 hrs,145.0,128.0,128.0,1575.0,126.0,1195.0
71,2022.02.19(2078.11.07),24:00 hrs,145.0,128.0,128.0,1575.0,116.0,1095.0
72,2022.02.01(2078.10.18),24:00 hrs,142.0,125.0,125.0,1575.0,116.0,1095.0
73,2022.01.19(2078.10.05),24:00 hrs,139.0,122.0,122.0,1575.0,106.0,995.0
74,2021.11.10(2078.07.24),24:00 hrs,136.0,119.0,119.0,1575.0,101.0,895.0
75,2021.10.29(2078.07.12),24:00 hrs,133.0,116.0,116.0,1500.0,96.0,853.0
76,2021.08.23(2078.05.07),24:00 hrs,130.0,113.0,113.0,1450.0,86.0,770.0
77,2021.07.14(2078.03.30),24:00hrs,128.0,111.0,111.0,1425.0,84.0,754.0
78,2021.07.06(2078.03.22),24:00hrs,129.0,112.0,112.0,1425.0,84.0,754.0
79,2021.06.23(2078.3.9),24:00hrs,127.0,110.0,110.0,1400.0,82.0,735.0
80,2021.06.06(2078.02.23),24:00 hrs,125.0,108.0,108.0,1400.0,80.0,715.0
81,2021.06.05(2078.02.22),24:00hrs,125.0,108.0,108.0,1400.0,80.0,893.0
82,2021.05.16(2078.02.02),24:00hrs,123.0,106.0,106.0,1400.0,78.0,893.0
83,2021.04.17(2078.01.04),24hrs,121.0,104.0,104.0,1400.0,76.0,893.0
84,2021.04.04(2077.12.22),24:00hrs,120.0,103.0,103.0,1400.0,74.0,893.0
85,2021.03.16(2077.12.03),24hrs,118.0,101.0,101.0,1400.0,72.0,893.0
86,2021.03.01(2077.11.17),24hrs,116.0,99.0,99.0,1400.0,65.0,868.0
87,2021.02.16(2077.11.04),24hrs,114.0,97.0,97.0,1400.0,65.0,868.0
88,2021.02.10(2077.10.28),24hrs,112.0,95.0,95.0,1400.0,65.0,868.0
89,2021.01.18(2077.10.05),24hrs,110.0,93.0,93.0,1375.0,65.0,868.0
90,2020.12.12(2077.08.27),24hrs,108.0,91.0,91.0,1375.0,65.0,868.0
91,2020.10.01(2077.06.15),24:00hrs,107.0,89.0,89.0,1375.0,65.0,868.0
92,2020.09.16(2077.05.31),24:00hrs,107.0,90.0,90.0,1375.0,65.0,868.0
93,2020.09.1(2077.05.16),24:00hrs,107.0,91.0,91.0,1375.0,65.0,868.0
94,2020.08.16(2077.04.32),24:00hrs,105.0,91.0,91.0,1375.0,65.0,868.0
95,2020.08.02(2077.04.17),24:00hrs,104.0,90.0,90.0,1375.0,65.0,868.0
96,2020.07.10(2077.03.26),24:00hrs,102.0,88.0,88.0,1375.0,65.0,868.0
97,2020.06.30(2077.03.16),24:00hrs,101.0,87.0,87.0,1375.0,65.0,868.0
98,2020.05.29(2077.02.16),24:00hrs,96.0,85.0,85.0,1375.0,65.0,868.0
99,2020.04.01(2076.12.19),24:00 hrs,96.0,85.0,85.0,1375.0,75.0,950.0
100,2020.03.16(2076.12.03),24.00 hrs,106.0,95.0,95.0,1375.0,90.0,1000.0
101,2020.02.17(2076.11.05),24.00 hrs,108.0,97.0,97.0,1375.0,94.5,1000.0
102,2020.02.03(2076.10.20),24:00 hrs,110.0,99.0,99.0,1375.0,94.5,1000.0
103,2020.01.01(2076.09.16),24.00 hrs,111.0,100.0,100.0,1350.0,94.5,1000.0
104,2019.12.17 (2076.09.01),24:00 hrs,109.0,98.0,98.0,1350.0,94.5,1000.0
105,2019.10.03 (2076.08.17),24:00 hrs,109.0,97.0,97.0,1350.0,94.5,1000.0
106,2019.09.10 (2076.05.24),24:00 hrs,107.0,95.0,95.0,1375.0,94.5,1050.0
107,2019.08.07 (2076.04.22),24:00 hrs,109.0,97.0,97.0,1400.0,94.5,1050.0
108,2019.06.17 (2076.03.02),24:00 hrs,108.0,96.5,96.5,1400.0,94.5,1050.0
109,2019.06.06 (2076.2.23),24:00 hrs,110.0,98.5,98.5,1400.0,94.5,1050.0
110,2019.05.30 (2076.2.16),24:00 hrs,111.0,98.5,98.5,1400.0,94.5,1050.0
