date,temperature_avg,temperature_min,temperature_max,precipitation,wind_speed,air_pressure,rainfall_mm,usd_to_npr
2018-01-01,10.3,6.0,19.4,0.0,4.7,1016.8,,
2018-01-02,9.0,3.4,18.1,0.0,5.2,1015.8,,
2018-01-03,8.4,2.0,17.6,0.0,5.5,1015.5,,
2018-01-04,8.6,1.1,19.1,0.0,4.7,1017.4,,
2018-01-05,8.2,1.6,17.2,0.0,4.5,1015.8,,
2018-01-06,7.5,1.4,17.1,0.0,4.4,1013.5,,
2018-01-07,6.9,0.1,16.6,0.0,4.9,1013.6,,
2018-01-08,6.8,-0.4,16.1,0.0,5.0,1017.2,,
2018-01-09,7.2,-0.4,16.7,0.0,4.5,1019.2,,
2018-01-10,7.9,0.2,16.6,0.0,3.9,1018.5,,
2018-01-11,8.3,1.4,16.8,,4.7,1017.2,,
2018-01-12,9.2,2.0,18.1,0.0,4.2,1017.7,,
2018-01-13,9.8,3.0,18.2,0.0,4.7,1017.0,,
2018-01-14,9.9,4.6,19.0,0.0,4.7,1018.3,,
2018-01-15,9.7,2.8,19.0,0.0,3.3,1016.9,,
2018-01-16,10.3,3.2,19.2,0.0,4.2,1017.1,,
2018-01-17,10.4,3.2,20.1,0.0,5.2,1017.8,,
2018-01-18,10.7,3.6,19.8,0.0,4.3,1017.3,,
2018-01-19,10.5,3.8,19.9,0.0,5.2,1017.9,,
2018-01-20,10.2,3.6,18.6,,4.8,1016.5,,
2018-01-21,11.3,6.6,17.6,,4.6,1017.5,,
2018-01-22,11.2,4.2,19.6,,3.7,1016.5,,
2018-01-23,11.4,4.6,19.6,,8.7,1015.5,,
2018-01-24,7.9,4.6,13.1,6.1,6.2,1014.3,,
2018-01-25,8.9,2.0,18.1,0.0,4.8,1013.3,,
2018-01-26,9.1,2.6,17.8,0.0,4.6,1013.8,,
2018-01-27,8.5,3.6,18.1,0.0,6.1,1013.4,,
2018-01-28,8.4,2.6,17.6,,5.8,1014.6,,
2018-01-29,8.8,1.6,17.3,0.0,4.7,1016.2,,
2018-01-30,9.7,4.2,17.8,0.0,4.9,1014.4,,
