,Forecasted_Price
2025-10-21,46.334537760615355
2025-10-22,45.002459613978864
2025-10-23,44.230872744917875
2025-10-24,43.914998851716526
2025-10-25,43.93792931973935
2025-10-26,44.17615468293429
2025-10-27,44.51298423647881
2025-10-28,44.86347855120898
2025-10-29,45.15954081058503
2025-10-30,45.37404124289751
2025-10-31,45.49928490787745
2025-11-01,45.54497787177563
2025-11-02,45.530341596007354
2025-11-03,45.48217444777489
2025-11-04,45.424260375201705
2025-11-05,45.36925630658865
2025-11-06,45.32827564239502
2025-11-07,45.29937989324332
2025-11-08,45.28738123416901
2025-11-09,45.287798894643785
2025-11-10,45.29506255507469
2025-11-11,45.308518486022955
2025-11-12,45.32062610000372
2025-11-13,45.32996898323298
2025-11-14,45.335167040228846
2025-11-15,45.33967958927155
2025-11-16,45.339330025613314
2025-11-17,45.33781827628613
2025-11-18,45.33521243810654
2025-11-19,45.333273948729044
