,Forecasted_Price
2025-10-21,50.382572174072266
2025-10-22,55.00642013549805
2025-10-23,53.64675521850586
2025-10-24,53.44049835205078
2025-10-25,53.49656677246094
2025-10-26,54.60776138305664
2025-10-27,54.71269226074219
2025-10-28,53.662513732910156
2025-10-29,55.330055236816406
2025-10-30,54.530548095703125
2025-10-31,54.06483840942383
2025-11-01,56.291404724121094
2025-11-02,58.34280776977539
2025-11-03,59.46112060546875
2025-11-04,60.60395431518555
2025-11-05,62.84196090698242
2025-11-06,62.76445770263672
2025-11-07,62.950870513916016
2025-11-08,62.943359375
2025-11-09,64.27076721191406
2025-11-10,65.40497589111328
2025-11-11,66.20458984375
2025-11-12,66.51825714111328
2025-11-13,66.65662384033203
2025-11-14,67.12074279785156
2025-11-15,67.9217758178711
2025-11-16,68.45269775390625
2025-11-17,69.40684509277344
2025-11-18,71.87541961669922
2025-11-19,72.78056335449219
